?cluster	?sa_month	?sa_day	?sa_year	?sb_month	?sb_day	?sb_year	?ea_month	?ea_day	?ea_year	?eb_month	?eb_day	?eb_year
cluster-NILR21620												
cluster-NILR21621				"09"	"12"	"2014"						
cluster-NILR21622												
cluster-NILR21623												
cluster-NILV21630	"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
cluster-NILV21631				"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
cluster-NILV21633				"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
cluster-NILV21634				"09"	"13"	"2014"				"09"	"13"	"2014"
cluster-NILV21635				"09"	"15"	"2014"				"09"	"15"	"2014"
cluster-NILV21636				"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
cluster-NILV21637				"09"	"13"	"2014"				"09"	"13"	"2014"
cluster-NILV21639				"09"	"15"	"2014"						
cluster-NILV21640				"09"	"15"	"2014"						
cluster-NILV21641				"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
cluster-NILV21642				"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
cluster-NILV21643				"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
cluster-NILV21644				"09"	"15"	"2014"				"09"	"15"	"2014"
cluster-NILV21645	"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
cluster-NILV21646	"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
cluster-NILV21647				"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
cluster-NILV21648				"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
