metatype	system_or_gold1	cluster1	system_or_gold2	cluster2	similarity
Entity	system	cluster-NILE21705	system	cluster-NILE21705	2
Entity	system	cluster-NILE21705	system	cluster-NILE21706	0
Entity	system	cluster-NILE21705	system	cluster-NILE21707	0
Entity	system	cluster-NILE21705	system	cluster-NILE21708	0
Entity	system	cluster-NILE21705	system	cluster-NILE21709	0
Entity	system	cluster-NILE21705	system	cluster-NILE21710	0
Entity	system	cluster-NILE21705	system	cluster-NILE21711	0
Entity	system	cluster-NILE21705	system	cluster-NILE21712	0
Entity	system	cluster-NILE21705	system	cluster-NILE21713	0
Entity	system	cluster-NILE21705	system	cluster-NILE21714	0
Entity	system	cluster-NILE21705	system	cluster-NILE21715	0
Entity	system	cluster-NILE21705	system	cluster-NILE21716	0
Entity	system	cluster-NILE21705	system	cluster-NILE21717	0
Entity	system	cluster-NILE21705	system	cluster-NILE21718	0
Entity	system	cluster-NILE21705	system	cluster-NILE21719	0
Entity	system	cluster-NILE21705	system	cluster-NILE21720	0
Entity	system	cluster-NILE21705	system	cluster-NILE21721	0
Entity	system	cluster-NILE21705	system	cluster-NILE21722	0
Entity	system	cluster-NILE21705	system	cluster-NILE21723	0
Entity	system	cluster-NILE21705	system	cluster-NILE21724	0
Entity	system	cluster-NILE21705	system	cluster-NILE21725	0
Entity	system	cluster-NILE21705	system	cluster-NILE21726	0
Entity	system	cluster-NILE21705	system	cluster-NILE21727	0
Entity	system	cluster-NILE21705	system	cluster-NILE21728	0
Entity	system	cluster-NILE21705	system	cluster-NILE21729	0
Entity	system	cluster-NILE21705	system	cluster-NILE21730	0
Entity	system	cluster-NILE21705	system	cluster-NILE21731	0
Entity	system	cluster-NILE21705	system	cluster-NILE21732	0
Entity	system	cluster-NILE21705	system	cluster-NILE21733	0
Entity	system	cluster-NILE21705	system	cluster-NILE21734	0
Entity	system	cluster-NILE21705	system	cluster-NILE21735	0
Entity	system	cluster-NILE21705	system	cluster-NILE21736	0
Entity	system	cluster-NILE21705	system	cluster-NILE21737	0
Entity	system	cluster-NILE21705	system	cluster-NILE21738	0
Entity	system	cluster-NILE21705	system	cluster-NILE21739	0
Entity	system	cluster-NILE21705	system	cluster-NILE21740	0
Entity	system	cluster-NILE21705	system	cluster-NILE21741	0
Entity	system	cluster-NILE21705	system	cluster-NILE21742	0
Entity	system	cluster-NILE21705	system	cluster-NILE21743	0
Entity	system	cluster-NILE21705	system	cluster-NILE21744	0
Entity	system	cluster-NILE21705	system	cluster-NILE21745	0
