metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE22385	cluster-NILE22385	1
Entity	cluster-NILE22386	cluster-NILE22386	1
Entity	cluster-NILE22387	cluster-NILE22387	1
Entity	cluster-NILE22388	cluster-NILE22388	8
Entity	cluster-NILE22389	cluster-NILE22389	2
Entity	cluster-NILE22390	cluster-NILE22390	1
Entity	cluster-NILE22391	cluster-NILE22391	1
Entity	cluster-NILE22392	cluster-NILE22392	5
Entity	cluster-NILE22393	cluster-NILE22393	1
Entity	cluster-NILE22394	cluster-NILE22394	1
Entity	cluster-NILE22395	cluster-NILE22395	1
Entity	cluster-NILE22396	cluster-NILE22396	1
Entity	cluster-NILE22397	cluster-NILE22397	1
Entity	cluster-NILE22398	cluster-NILE22398	1
Entity	cluster-NILE22400	cluster-NILE22400	2
Relation	cluster-NILR22385	cluster-NILR22385	1
Relation	cluster-NILR22386	cluster-NILR22386	1
Relation	cluster-NILR22387	cluster-NILR22387	1
Relation	cluster-NILR22388	cluster-NILR22388	1
Relation	cluster-NILR22389	cluster-NILR22389	1
Relation	cluster-NILR22390	cluster-NILR22390	1
Relation	cluster-NILR22391	cluster-NILR22391	1
Event	cluster-NILV22385	cluster-NILV22385	3
Event	cluster-NILV22386	cluster-NILV22386	1
Event	cluster-NILV22388	cluster-NILV22388	1
