metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE22240	cluster-NILE22240	3
Entity	cluster-NILE22241	cluster-NILE22241	1
Entity	cluster-NILE22242	cluster-NILE22242	10
Entity	cluster-NILE22243	cluster-NILE22243	4
Entity	cluster-NILE22244	cluster-NILE22244	3
Entity	cluster-NILE22245	cluster-NILE22245	6
Entity	cluster-NILE22247	cluster-NILE22247	1
Entity	cluster-NILE22248	cluster-NILE22248	1
Entity	cluster-NILE22249	cluster-NILE22249	14
Entity	cluster-NILE22250	cluster-NILE22250	3
Entity	cluster-NILE22251	cluster-NILE22251	4
Entity	cluster-NILE22252	cluster-NILE22252	2
Entity	cluster-NILE22253	cluster-NILE22253	1
Entity	cluster-NILE22254	cluster-NILE22254	1
Entity	cluster-NILE22255	cluster-NILE22255	1
Entity	cluster-NILE22256	cluster-NILE22256	1
Entity	cluster-NILE22257	cluster-NILE22257	1
Entity	cluster-NILE22258	cluster-NILE22258	2
Entity	cluster-NILE22259	cluster-NILE22259	1
Entity	cluster-NILE22260	cluster-NILE22260	1
Entity	cluster-NILE22261	cluster-NILE22261	1
Entity	cluster-NILE22262	cluster-NILE22262	3
Entity	cluster-NILE22263	cluster-NILE22263	1
Entity	cluster-NILE22264	cluster-NILE22264	1
Entity	cluster-NILE22265	cluster-NILE22265	1
Entity	cluster-NILE22266	cluster-NILE22266	1
Entity	cluster-NILE22267	cluster-NILE22267	1
Entity	cluster-NILE22268	cluster-NILE22268	3
Entity	cluster-NILE22269	cluster-NILE22269	1
Entity	cluster-NILE22270	cluster-NILE22270	2
Entity	cluster-NILE22271	cluster-NILE22271	1
Entity	cluster-NILE22272	cluster-NILE22272	1
Entity	cluster-NILE22273	cluster-NILE22273	1
Entity	cluster-NILE22274	cluster-NILE22274	1
Entity	cluster-NILE22275	cluster-NILE22275	5
Entity	cluster-NILE22276	cluster-NILE22276	1
Entity	cluster-NILE22277	cluster-NILE22277	1
Entity	cluster-NILE22278	cluster-NILE22278	1
Entity	cluster-NILE22279	cluster-NILE22279	1
Entity	cluster-NILE22280	cluster-NILE22280	1
Entity	cluster-NILE22281	cluster-NILE22281	3
Relation	cluster-NILR22258	cluster-NILR22258	1
Relation	cluster-NILR22259	cluster-NILR22259	1
Relation	cluster-NILR22260	cluster-NILR22260	1
Relation	cluster-NILR22261	cluster-NILR22261	1
Relation	cluster-NILR22262	cluster-NILR22262	1
Relation	cluster-NILR22263	cluster-NILR22263	1
Relation	cluster-NILR22264	cluster-NILR22264	1
Relation	cluster-NILR22265	cluster-NILR22265	1
Relation	cluster-NILR22266	cluster-NILR22266	1
Relation	cluster-NILR22267	cluster-NILR22267	1
Relation	cluster-NILR22268	cluster-NILR22268	1
Relation	cluster-NILR22269	cluster-NILR22269	1
Relation	cluster-NILR22270	cluster-NILR22270	1
Relation	cluster-NILR22271	cluster-NILR22271	1
Relation	cluster-NILR22272	cluster-NILR22272	1
Relation	cluster-NILR22273	cluster-NILR22273	1
Relation	cluster-NILR22274	cluster-NILR22274	1
Relation	cluster-NILR22275	cluster-NILR22275	1
Relation	cluster-NILR22276	cluster-NILR22276	1
Relation	cluster-NILR22278	cluster-NILR22278	1
Event	cluster-NILV22258	cluster-NILV22258	2
Event	cluster-NILV22259	cluster-NILV22259	14
Event	cluster-NILV22260	cluster-NILV22260	2
Event	cluster-NILV22261	cluster-NILV22261	2
Event	cluster-NILV22262	cluster-NILV22262	1
Event	cluster-NILV22263	cluster-NILV22263	1
Event	cluster-NILV22264	cluster-NILV22264	2
Event	cluster-NILV22265	cluster-NILV22265	1
Event	cluster-NILV22266	cluster-NILV22266	1
Event	cluster-NILV22267	cluster-NILV22267	1
Event	cluster-NILV22268	cluster-NILV22268	1
Event	cluster-NILV22269	cluster-NILV22269	1
Event	cluster-NILV22270	cluster-NILV22270	1
Event	cluster-NILV22271	cluster-NILV22271	2
Event	cluster-NILV22272	cluster-NILV22272	1
Event	cluster-NILV22273	cluster-NILV22273	1
Event	cluster-NILV22274	cluster-NILV22274	1
