?cluster	?sa_month	?sa_day	?sa_year	?sb_month	?sb_day	?sb_year	?ea_month	?ea_day	?ea_year	?eb_month	?eb_day	?eb_year
cluster-NILR22340				"09"	"21"	"2014"				"09"	"21"	"2014"
cluster-NILR22341												
cluster-NILR22342												
cluster-NILR22343												
cluster-NILR22344				"09"	"21"	"2014"				"09"	"21"	"2014"
cluster-NILR22345	"09"	"21"	"2014"	"09"	"21"	"2014"	"09"	"21"	"2014"	"09"	"21"	"2014"
cluster-NILV22340				"09"	"21"	"2014"				"09"	"21"	"2014"
cluster-NILV22341				"09"	"21"	"2014"				"09"	"21"	"2014"
cluster-NILV22342				"09"	"21"	"2014"						
cluster-NILV22343				"09"	"21"	"2014"				"09"	"21"	"2014"
cluster-NILV22345				"09"	"21"	"2014"				"09"	"21"	"2014"
cluster-NILV22346				"09"	"21"	"2014"				"09"	"21"	"2014"
