metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE20375	cluster-NILE20375	2
Entity	cluster-NILE20376	cluster-NILE20376	1
Entity	cluster-NILE20377	cluster-NILE20377	3
Entity	cluster-NILE20378	cluster-NILE20378	3
Entity	cluster-NILE20379	cluster-NILE20379	2
Entity	cluster-NILE20380	cluster-NILE20380	2
Entity	cluster-NILE20381	cluster-NILE20381	2
Entity	cluster-NILE20382	cluster-NILE20382	3
Entity	cluster-NILE20383	cluster-NILE20383	9
Entity	cluster-NILE20384	cluster-NILE20384	12
Entity	cluster-NILE20385	cluster-NILE20385	2
Entity	cluster-NILE20386	cluster-NILE20386	2
Entity	cluster-NILE20387	cluster-NILE20387	2
Entity	cluster-NILE20388	cluster-NILE20388	1
Entity	cluster-NILE20389	cluster-NILE20389	4
Entity	cluster-NILE20390	cluster-NILE20390	1
Entity	cluster-NILE20391	cluster-NILE20391	1
Entity	cluster-NILE20392	cluster-NILE20392	1
Entity	cluster-NILE20393	cluster-NILE20393	2
Entity	cluster-NILE20394	cluster-NILE20394	1
Entity	cluster-NILE20395	cluster-NILE20395	1
Entity	cluster-NILE20396	cluster-NILE20396	1
Entity	cluster-NILE20397	cluster-NILE20397	1
Entity	cluster-NILE20398	cluster-NILE20398	1
Entity	cluster-NILE20399	cluster-NILE20399	1
Entity	cluster-NILE20400	cluster-NILE20400	2
Entity	cluster-NILE20401	cluster-NILE20401	2
Entity	cluster-NILE20402	cluster-NILE20402	1
Entity	cluster-NILE20403	cluster-NILE20403	2
Entity	cluster-NILE20404	cluster-NILE20404	2
Entity	cluster-NILE20405	cluster-NILE20405	1
Entity	cluster-NILE20406	cluster-NILE20406	1
Entity	cluster-NILE20407	cluster-NILE20407	1
Entity	cluster-NILE20408	cluster-NILE20408	2
Entity	cluster-NILE20409	cluster-NILE20409	3
Entity	cluster-NILE20410	cluster-NILE20410	2
Entity	cluster-NILE20411	cluster-NILE20411	1
Entity	cluster-NILE20412	cluster-NILE20412	1
Entity	cluster-NILE20413	cluster-NILE20413	1
Entity	cluster-NILE20414	cluster-NILE20414	3
Entity	cluster-NILE20415	cluster-NILE20415	1
Entity	cluster-NILE20416	cluster-NILE20416	1
Entity	cluster-NILE20417	cluster-NILE20417	1
Entity	cluster-NILE20418	cluster-NILE20418	1
Relation	cluster-NILR20375	cluster-NILR20375	1
Relation	cluster-NILR20376	cluster-NILR20376	1
Relation	cluster-NILR20377	cluster-NILR20377	1
Relation	cluster-NILR20379	cluster-NILR20379	1
Relation	cluster-NILR20380	cluster-NILR20380	1
Relation	cluster-NILR20381	cluster-NILR20381	1
Relation	cluster-NILR20382	cluster-NILR20382	1
Relation	cluster-NILR20383	cluster-NILR20383	1
Relation	cluster-NILR20384	cluster-NILR20384	1
Relation	cluster-NILR20385	cluster-NILR20385	1
Relation	cluster-NILR20386	cluster-NILR20386	1
Relation	cluster-NILR20387	cluster-NILR20387	1
Relation	cluster-NILR20388	cluster-NILR20388	1
Relation	cluster-NILR20389	cluster-NILR20389	1
Relation	cluster-NILR20391	cluster-NILR20391	1
Relation	cluster-NILR20392	cluster-NILR20392	1
Relation	cluster-NILR20393	cluster-NILR20393	1
Event	cluster-NILV20387	cluster-NILV20387	1
Event	cluster-NILV20388	cluster-NILV20388	1
Event	cluster-NILV20389	cluster-NILV20389	1
Event	cluster-NILV20390	cluster-NILV20390	3
Event	cluster-NILV20391	cluster-NILV20391	1
Event	cluster-NILV20392	cluster-NILV20392	1
Event	cluster-NILV20393	cluster-NILV20393	1
Event	cluster-NILV20394	cluster-NILV20394	1
Event	cluster-NILV20395	cluster-NILV20395	1
Event	cluster-NILV20396	cluster-NILV20396	3
Event	cluster-NILV20397	cluster-NILV20397	2
Event	cluster-NILV20398	cluster-NILV20398	1
Event	cluster-NILV20399	cluster-NILV20399	1
Event	cluster-NILV20400	cluster-NILV20400	1
Event	cluster-NILV20401	cluster-NILV20401	2
Event	cluster-NILV20402	cluster-NILV20402	1
Event	cluster-NILV20403	cluster-NILV20403	5
Event	cluster-NILV20404	cluster-NILV20404	1
Event	cluster-NILV20405	cluster-NILV20405	1
