metatype	system_or_gold1	cluster1	system_or_gold2	cluster2	similarity
Entity	system	cluster-NILE21960	system	cluster-NILE21960	2
Entity	system	cluster-NILE21960	system	cluster-NILE21961	0
Entity	system	cluster-NILE21960	system	cluster-NILE21962	0
Entity	system	cluster-NILE21960	system	cluster-NILE21963	0
Entity	system	cluster-NILE21960	system	cluster-NILE21964	0
Entity	system	cluster-NILE21960	system	cluster-NILE21965	0
Entity	system	cluster-NILE21960	system	cluster-NILE21966	0
Entity	system	cluster-NILE21960	system	cluster-NILE21967	0
Entity	system	cluster-NILE21960	system	cluster-NILE21968	0
Entity	system	cluster-NILE21960	system	cluster-NILE21969	0
Entity	system	cluster-NILE21960	system	cluster-NILE21970	0
Entity	system	cluster-NILE21960	system	cluster-NILE21971	0
Entity	system	cluster-NILE21960	system	cluster-NILE21972	0
Entity	system	cluster-NILE21960	system	cluster-NILE21973	0
Entity	system	cluster-NILE21960	system	cluster-NILE21974	0
Entity	system	cluster-NILE21960	system	cluster-NILE21975	0
Entity	system	cluster-NILE21960	system	cluster-NILE21977	0
Entity	system	cluster-NILE21960	system	cluster-NILE21978	0
Entity	system	cluster-NILE21961	system	cluster-NILE21960	0
Entity	system	cluster-NILE21961	system	cluster-NILE21961	1
Entity	system	cluster-NILE21961	system	cluster-NILE21962	0
Entity	system	cluster-NILE21961	system	cluster-NILE21963	0
Entity	system	cluster-NILE21961	system	cluster-NILE21964	0
Entity	system	cluster-NILE21961	system	cluster-NILE21965	0
Entity	system	cluster-NILE21961	system	cluster-NILE21966	0
Entity	system	cluster-NILE21961	system	cluster-NILE21967	0
Entity	system	cluster-NILE21961	system	cluster-NILE21968	0
Entity	system	cluster-NILE21961	system	cluster-NILE21969	0
Entity	system	cluster-NILE21961	system	cluster-NILE21970	0
Entity	system	cluster-NILE21961	system	cluster-NILE21971	0
Entity	system	cluster-NILE21961	system	cluster-NILE21972	0
Entity	system	cluster-NILE21961	system	cluster-NILE21973	0
Entity	system	cluster-NILE21961	system	cluster-NILE21974	0
Entity	system	cluster-NILE21961	system	cluster-NILE21975	0
Entity	system	cluster-NILE21961	system	cluster-NILE21977	0
Entity	system	cluster-NILE21961	system	cluster-NILE21978	0
Entity	system	cluster-NILE21962	system	cluster-NILE21960	0
Entity	system	cluster-NILE21962	system	cluster-NILE21961	0
Entity	system	cluster-NILE21962	system	cluster-NILE21962	1
Entity	system	cluster-NILE21962	system	cluster-NILE21963	0
Entity	system	cluster-NILE21962	system	cluster-NILE21964	0
Entity	system	cluster-NILE21962	system	cluster-NILE21965	0
Entity	system	cluster-NILE21962	system	cluster-NILE21966	0
Entity	system	cluster-NILE21962	system	cluster-NILE21967	0
Entity	system	cluster-NILE21962	system	cluster-NILE21968	0
Entity	system	cluster-NILE21962	system	cluster-NILE21969	0
Entity	system	cluster-NILE21962	system	cluster-NILE21970	0
Entity	system	cluster-NILE21962	system	cluster-NILE21971	0
Entity	system	cluster-NILE21962	system	cluster-NILE21972	0
Entity	system	cluster-NILE21962	system	cluster-NILE21973	0
Entity	system	cluster-NILE21962	system	cluster-NILE21974	0
Entity	system	cluster-NILE21962	system	cluster-NILE21975	0
Entity	system	cluster-NILE21962	system	cluster-NILE21977	0
Entity	system	cluster-NILE21962	system	cluster-NILE21978	0
Entity	system	cluster-NILE21963	system	cluster-NILE21960	0
Entity	system	cluster-NILE21963	system	cluster-NILE21961	0
Entity	system	cluster-NILE21963	system	cluster-NILE21962	0
Entity	system	cluster-NILE21963	system	cluster-NILE21963	2
Entity	system	cluster-NILE21963	system	cluster-NILE21964	0
Entity	system	cluster-NILE21963	system	cluster-NILE21965	0
Entity	system	cluster-NILE21963	system	cluster-NILE21966	0
Entity	system	cluster-NILE21963	system	cluster-NILE21967	0
Entity	system	cluster-NILE21963	system	cluster-NILE21968	0
Entity	system	cluster-NILE21963	system	cluster-NILE21969	0
Entity	system	cluster-NILE21963	system	cluster-NILE21970	0
Entity	system	cluster-NILE21963	system	cluster-NILE21971	0
Entity	system	cluster-NILE21963	system	cluster-NILE21972	0
Entity	system	cluster-NILE21963	system	cluster-NILE21973	0
Entity	system	cluster-NILE21963	system	cluster-NILE21974	0
Entity	system	cluster-NILE21963	system	cluster-NILE21975	0
Entity	system	cluster-NILE21963	system	cluster-NILE21977	0
Entity	system	cluster-NILE21963	system	cluster-NILE21978	0
Entity	system	cluster-NILE21964	system	cluster-NILE21960	0
Entity	system	cluster-NILE21964	system	cluster-NILE21961	0
Entity	system	cluster-NILE21964	system	cluster-NILE21962	0
Entity	system	cluster-NILE21964	system	cluster-NILE21963	0
Entity	system	cluster-NILE21964	system	cluster-NILE21964	2
Entity	system	cluster-NILE21964	system	cluster-NILE21965	0
Entity	system	cluster-NILE21964	system	cluster-NILE21966	0
Entity	system	cluster-NILE21964	system	cluster-NILE21967	0
Entity	system	cluster-NILE21964	system	cluster-NILE21968	0
Entity	system	cluster-NILE21964	system	cluster-NILE21969	0
Entity	system	cluster-NILE21964	system	cluster-NILE21970	0
Entity	system	cluster-NILE21964	system	cluster-NILE21971	0
Entity	system	cluster-NILE21964	system	cluster-NILE21972	0
Entity	system	cluster-NILE21964	system	cluster-NILE21973	0
Entity	system	cluster-NILE21964	system	cluster-NILE21974	0
Entity	system	cluster-NILE21964	system	cluster-NILE21975	0
Entity	system	cluster-NILE21964	system	cluster-NILE21977	0
Entity	system	cluster-NILE21964	system	cluster-NILE21978	0
Entity	system	cluster-NILE21965	system	cluster-NILE21960	0
Entity	system	cluster-NILE21965	system	cluster-NILE21961	0
Entity	system	cluster-NILE21965	system	cluster-NILE21962	0
Entity	system	cluster-NILE21965	system	cluster-NILE21963	0
Entity	system	cluster-NILE21965	system	cluster-NILE21964	0
Entity	system	cluster-NILE21965	system	cluster-NILE21965	3
Entity	system	cluster-NILE21965	system	cluster-NILE21966	0
Entity	system	cluster-NILE21965	system	cluster-NILE21967	0
Entity	system	cluster-NILE21965	system	cluster-NILE21968	0
Entity	system	cluster-NILE21965	system	cluster-NILE21969	0
Entity	system	cluster-NILE21965	system	cluster-NILE21970	0
Entity	system	cluster-NILE21965	system	cluster-NILE21971	0
Entity	system	cluster-NILE21965	system	cluster-NILE21972	0
Entity	system	cluster-NILE21965	system	cluster-NILE21973	0
Entity	system	cluster-NILE21965	system	cluster-NILE21974	0
Entity	system	cluster-NILE21965	system	cluster-NILE21975	0
Entity	system	cluster-NILE21965	system	cluster-NILE21977	0
