DocID	RunID	Language	Metatype	TRFscore
L0C0492VC	example-task1-run	ENG	Event	0.0000
L0C0492VC	example-task1-run	ENG	Relation	0.0000
L0C0492VC	example-task1-run	ENG	ALL	0.0000
L0C049382	example-task1-run	ENG	Event	0.0000
L0C049382	example-task1-run	ENG	Relation	0.0000
L0C049382	example-task1-run	ENG	ALL	0.0000
L0C04960U	example-task1-run	RUS	Event	0.2822
L0C04960U	example-task1-run	RUS	Relation	0.0809
L0C04960U	example-task1-run	RUS	ALL	0.2395
L0C0496GC	example-task1-run	SPA	Event	0.0000
L0C0496GC	example-task1-run	SPA	Relation	0.0000
L0C0496GC	example-task1-run	SPA	ALL	0.0000
L0C0496GY	example-task1-run	RUS	Event	0.0000
L0C0496GY	example-task1-run	RUS	Relation	0.0000
L0C0496GY	example-task1-run	RUS	ALL	0.0000
L0C0496IN	example-task1-run	RUS	Event	0.0000
L0C0496IN	example-task1-run	RUS	Relation	0.0000
L0C0496IN	example-task1-run	RUS	ALL	0.0000
L0C0496RP	example-task1-run	RUS	Event	0.0000
L0C0496RP	example-task1-run	RUS	Relation	0.0000
L0C0496RP	example-task1-run	RUS	ALL	0.0000
L0C04978K	example-task1-run	SPA	Event	0.0000
L0C04978K	example-task1-run	SPA	Relation	0.0000
L0C04978K	example-task1-run	SPA	ALL	0.0000
L0C0497AG	example-task1-run	SPA	Event	0.0000
L0C0497AG	example-task1-run	SPA	Relation	0.0000
L0C0497AG	example-task1-run	SPA	ALL	0.0000
L0C0499MZ	example-task1-run	SPA	Event	0.2777
L0C0499MZ	example-task1-run	SPA	Relation	0.3733
L0C0499MZ	example-task1-run	SPA	ALL	0.2988
L0C0499ZF	example-task1-run	RUS	Event	0.0000
L0C0499ZF	example-task1-run	RUS	Relation	0.0000
L0C0499ZF	example-task1-run	RUS	ALL	0.0000
L0C049B4W	example-task1-run	RUS	Event	0.0000
L0C049B4W	example-task1-run	RUS	Relation	0.0000
