metatype	system_or_gold1	cluster1	system_or_gold2	cluster2	similarity
Entity	system	cluster-NILE22100	system	cluster-NILE22100	3
Entity	system	cluster-NILE22100	system	cluster-NILE22101	0
Entity	system	cluster-NILE22100	system	cluster-NILE22102	0
Entity	system	cluster-NILE22100	system	cluster-NILE22103	0
Entity	system	cluster-NILE22100	system	cluster-NILE22104	0
Entity	system	cluster-NILE22100	system	cluster-NILE22105	0
Entity	system	cluster-NILE22100	system	cluster-NILE22106	0
Entity	system	cluster-NILE22100	system	cluster-NILE22107	0
Entity	system	cluster-NILE22100	system	cluster-NILE22108	0
Entity	system	cluster-NILE22100	system	cluster-NILE22109	0
Entity	system	cluster-NILE22100	system	cluster-NILE22110	0
Entity	system	cluster-NILE22100	system	cluster-NILE22111	0
Entity	system	cluster-NILE22100	system	cluster-NILE22112	0
Entity	system	cluster-NILE22100	system	cluster-NILE22113	0
Entity	system	cluster-NILE22100	system	cluster-NILE22114	0
Entity	system	cluster-NILE22100	system	cluster-NILE22115	0
Entity	system	cluster-NILE22100	system	cluster-NILE22116	0
Entity	system	cluster-NILE22100	system	cluster-NILE22118	0
Entity	system	cluster-NILE22100	system	cluster-NILE22119	0
Entity	system	cluster-NILE22100	system	cluster-NILE22120	0
Entity	system	cluster-NILE22100	system	cluster-NILE22121	0
Entity	system	cluster-NILE22100	system	cluster-NILE22122	0
Entity	system	cluster-NILE22100	system	cluster-NILE22123	0
Entity	system	cluster-NILE22100	system	cluster-NILE22124	0
Entity	system	cluster-NILE22100	system	cluster-NILE22125	0
Entity	system	cluster-NILE22101	system	cluster-NILE22100	0
Entity	system	cluster-NILE22101	system	cluster-NILE22101	4
Entity	system	cluster-NILE22101	system	cluster-NILE22102	0
Entity	system	cluster-NILE22101	system	cluster-NILE22103	0
Entity	system	cluster-NILE22101	system	cluster-NILE22104	0
Entity	system	cluster-NILE22101	system	cluster-NILE22105	0
Entity	system	cluster-NILE22101	system	cluster-NILE22106	0
Entity	system	cluster-NILE22101	system	cluster-NILE22107	0
Entity	system	cluster-NILE22101	system	cluster-NILE22108	0
Entity	system	cluster-NILE22101	system	cluster-NILE22109	0
Entity	system	cluster-NILE22101	system	cluster-NILE22110	0
Entity	system	cluster-NILE22101	system	cluster-NILE22111	0
Entity	system	cluster-NILE22101	system	cluster-NILE22112	0
Entity	system	cluster-NILE22101	system	cluster-NILE22113	0
Entity	system	cluster-NILE22101	system	cluster-NILE22114	0
Entity	system	cluster-NILE22101	system	cluster-NILE22115	0
Entity	system	cluster-NILE22101	system	cluster-NILE22116	0
Entity	system	cluster-NILE22101	system	cluster-NILE22118	0
Entity	system	cluster-NILE22101	system	cluster-NILE22119	0
Entity	system	cluster-NILE22101	system	cluster-NILE22120	0
Entity	system	cluster-NILE22101	system	cluster-NILE22121	0
Entity	system	cluster-NILE22101	system	cluster-NILE22122	0
Entity	system	cluster-NILE22101	system	cluster-NILE22123	0
Entity	system	cluster-NILE22101	system	cluster-NILE22124	0
Entity	system	cluster-NILE22101	system	cluster-NILE22125	0
Entity	system	cluster-NILE22102	system	cluster-NILE22100	0
Entity	system	cluster-NILE22102	system	cluster-NILE22101	0
Entity	system	cluster-NILE22102	system	cluster-NILE22102	3
Entity	system	cluster-NILE22102	system	cluster-NILE22103	0
Entity	system	cluster-NILE22102	system	cluster-NILE22104	0
Entity	system	cluster-NILE22102	system	cluster-NILE22105	0
Entity	system	cluster-NILE22102	system	cluster-NILE22106	0
Entity	system	cluster-NILE22102	system	cluster-NILE22107	0
Entity	system	cluster-NILE22102	system	cluster-NILE22108	0
Entity	system	cluster-NILE22102	system	cluster-NILE22109	0
Entity	system	cluster-NILE22102	system	cluster-NILE22110	0
Entity	system	cluster-NILE22102	system	cluster-NILE22111	0
Entity	system	cluster-NILE22102	system	cluster-NILE22112	0
Entity	system	cluster-NILE22102	system	cluster-NILE22113	0
Entity	system	cluster-NILE22102	system	cluster-NILE22114	0
Entity	system	cluster-NILE22102	system	cluster-NILE22115	0
Entity	system	cluster-NILE22102	system	cluster-NILE22116	0
Entity	system	cluster-NILE22102	system	cluster-NILE22118	0
Entity	system	cluster-NILE22102	system	cluster-NILE22119	0
Entity	system	cluster-NILE22102	system	cluster-NILE22120	0
Entity	system	cluster-NILE22102	system	cluster-NILE22121	0
Entity	system	cluster-NILE22102	system	cluster-NILE22122	0
Entity	system	cluster-NILE22102	system	cluster-NILE22123	0
Entity	system	cluster-NILE22102	system	cluster-NILE22124	0
Entity	system	cluster-NILE22102	system	cluster-NILE22125	0
Entity	system	cluster-NILE22103	system	cluster-NILE22100	0
Entity	system	cluster-NILE22103	system	cluster-NILE22101	0
Entity	system	cluster-NILE22103	system	cluster-NILE22102	0
Entity	system	cluster-NILE22103	system	cluster-NILE22103	1
Entity	system	cluster-NILE22103	system	cluster-NILE22104	0
Entity	system	cluster-NILE22103	system	cluster-NILE22105	0
Entity	system	cluster-NILE22103	system	cluster-NILE22106	0
Entity	system	cluster-NILE22103	system	cluster-NILE22107	0
Entity	system	cluster-NILE22103	system	cluster-NILE22108	0
Entity	system	cluster-NILE22103	system	cluster-NILE22109	0
Entity	system	cluster-NILE22103	system	cluster-NILE22110	0
Entity	system	cluster-NILE22103	system	cluster-NILE22111	0
Entity	system	cluster-NILE22103	system	cluster-NILE22112	0
Entity	system	cluster-NILE22103	system	cluster-NILE22113	0
Entity	system	cluster-NILE22103	system	cluster-NILE22114	0
Entity	system	cluster-NILE22103	system	cluster-NILE22115	0
Entity	system	cluster-NILE22103	system	cluster-NILE22116	0
Entity	system	cluster-NILE22103	system	cluster-NILE22118	0
Entity	system	cluster-NILE22103	system	cluster-NILE22119	0
Entity	system	cluster-NILE22103	system	cluster-NILE22120	0
Entity	system	cluster-NILE22103	system	cluster-NILE22121	0
Entity	system	cluster-NILE22103	system	cluster-NILE22122	0
Entity	system	cluster-NILE22103	system	cluster-NILE22123	0
Entity	system	cluster-NILE22103	system	cluster-NILE22124	0
Entity	system	cluster-NILE22103	system	cluster-NILE22125	0
Entity	system	cluster-NILE22104	system	cluster-NILE22100	0
Entity	system	cluster-NILE22104	system	cluster-NILE22101	0
