metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE21995	cluster-NILE21995	5
Entity	cluster-NILE21996	cluster-NILE21996	1
Entity	cluster-NILE21997	cluster-NILE21997	3
Entity	cluster-NILE21998	cluster-NILE21998	3
Entity	cluster-NILE21999	cluster-NILE21999	15
Entity	cluster-NILE22000	cluster-NILE22000	6
Entity	cluster-NILE22001	cluster-NILE22001	7
Entity	cluster-NILE22002	cluster-NILE22002	9
Entity	cluster-NILE22003	cluster-NILE22003	4
Entity	cluster-NILE22004	cluster-NILE22004	1
Entity	cluster-NILE22005	cluster-NILE22005	1
Entity	cluster-NILE22006	cluster-NILE22006	2
Entity	cluster-NILE22007	cluster-NILE22007	1
Entity	cluster-NILE22008	cluster-NILE22008	3
Entity	cluster-NILE22009	cluster-NILE22009	2
Entity	cluster-NILE22010	cluster-NILE22010	1
Entity	cluster-NILE22011	cluster-NILE22011	5
Entity	cluster-NILE22012	cluster-NILE22012	4
Entity	cluster-NILE22013	cluster-NILE22013	1
Entity	cluster-NILE22014	cluster-NILE22014	1
Entity	cluster-NILE22015	cluster-NILE22015	2
Entity	cluster-NILE22016	cluster-NILE22016	1
Entity	cluster-NILE22017	cluster-NILE22017	4
Entity	cluster-NILE22018	cluster-NILE22018	1
Entity	cluster-NILE22019	cluster-NILE22019	1
Entity	cluster-NILE22020	cluster-NILE22020	1
Entity	cluster-NILE22021	cluster-NILE22021	1
Entity	cluster-NILE22022	cluster-NILE22022	1
Entity	cluster-NILE22023	cluster-NILE22023	3
Entity	cluster-NILE22024	cluster-NILE22024	1
Entity	cluster-NILE22025	cluster-NILE22025	1
Entity	cluster-NILE22026	cluster-NILE22026	1
Entity	cluster-NILE22027	cluster-NILE22027	1
Entity	cluster-NILE22028	cluster-NILE22028	1
Entity	cluster-NILE22029	cluster-NILE22029	1
Entity	cluster-NILE22030	cluster-NILE22030	1
Entity	cluster-NILE22031	cluster-NILE22031	1
Entity	cluster-NILE22032	cluster-NILE22032	1
Entity	cluster-NILE22033	cluster-NILE22033	1
Entity	cluster-NILE22034	cluster-NILE22034	1
Relation	cluster-NILR22014	cluster-NILR22014	1
Relation	cluster-NILR22015	cluster-NILR22015	1
Relation	cluster-NILR22016	cluster-NILR22016	1
Relation	cluster-NILR22017	cluster-NILR22017	1
Relation	cluster-NILR22018	cluster-NILR22018	1
Relation	cluster-NILR22019	cluster-NILR22019	1
Relation	cluster-NILR22020	cluster-NILR22020	1
Relation	cluster-NILR22021	cluster-NILR22021	1
Relation	cluster-NILR22022	cluster-NILR22022	1
Relation	cluster-NILR22023	cluster-NILR22023	1
Relation	cluster-NILR22024	cluster-NILR22024	1
Relation	cluster-NILR22025	cluster-NILR22025	1
Relation	cluster-NILR22028	cluster-NILR22028	1
Relation	cluster-NILR22029	cluster-NILR22029	1
Event	cluster-NILV22021	cluster-NILV22021	11
Event	cluster-NILV22022	cluster-NILV22022	2
Event	cluster-NILV22023	cluster-NILV22023	3
Event	cluster-NILV22024	cluster-NILV22024	1
Event	cluster-NILV22025	cluster-NILV22025	2
Event	cluster-NILV22026	cluster-NILV22026	1
Event	cluster-NILV22027	cluster-NILV22027	1
Event	cluster-NILV22028	cluster-NILV22028	1
Event	cluster-NILV22029	cluster-NILV22029	1
Event	cluster-NILV22030	cluster-NILV22030	1
