metatype	system_or_gold1	cluster1	system_or_gold2	cluster2	similarity
Entity	system	cluster-NILE22455	system	cluster-NILE22455	1
Entity	system	cluster-NILE22455	system	cluster-NILE22456	0
Entity	system	cluster-NILE22455	system	cluster-NILE22457	0
Entity	system	cluster-NILE22455	system	cluster-NILE22458	0
Entity	system	cluster-NILE22455	system	cluster-NILE22459	0
Entity	system	cluster-NILE22455	system	cluster-NILE22460	0
Entity	system	cluster-NILE22455	system	cluster-NILE22461	0
Entity	system	cluster-NILE22455	system	cluster-NILE22462	0
Entity	system	cluster-NILE22455	system	cluster-NILE22463	0
Entity	system	cluster-NILE22455	system	cluster-NILE22464	1
Entity	system	cluster-NILE22455	system	cluster-NILE22465	0
Entity	system	cluster-NILE22455	system	cluster-NILE22466	0
Entity	system	cluster-NILE22455	system	cluster-NILE22467	0
Entity	system	cluster-NILE22455	system	cluster-NILE22468	0
Entity	system	cluster-NILE22455	system	cluster-NILE22469	0
Entity	system	cluster-NILE22455	system	cluster-NILE22470	0
Entity	system	cluster-NILE22455	system	cluster-NILE22471	0
Entity	system	cluster-NILE22455	system	cluster-NILE22472	0
Entity	system	cluster-NILE22455	system	cluster-NILE22473	0
Entity	system	cluster-NILE22455	system	cluster-NILE22474	0
Entity	system	cluster-NILE22455	system	cluster-NILE22475	0
Entity	system	cluster-NILE22455	system	cluster-NILE22476	0
Entity	system	cluster-NILE22455	system	cluster-NILE22477	0
Entity	system	cluster-NILE22455	system	cluster-NILE22478	0
Entity	system	cluster-NILE22455	system	cluster-NILE22479	0
Entity	system	cluster-NILE22455	system	cluster-NILE22480	0
Entity	system	cluster-NILE22455	system	cluster-NILE22481	0
Entity	system	cluster-NILE22456	system	cluster-NILE22455	0
Entity	system	cluster-NILE22456	system	cluster-NILE22456	1
Entity	system	cluster-NILE22456	system	cluster-NILE22457	0
Entity	system	cluster-NILE22456	system	cluster-NILE22458	0
Entity	system	cluster-NILE22456	system	cluster-NILE22459	0
Entity	system	cluster-NILE22456	system	cluster-NILE22460	0
Entity	system	cluster-NILE22456	system	cluster-NILE22461	0
Entity	system	cluster-NILE22456	system	cluster-NILE22462	0
Entity	system	cluster-NILE22456	system	cluster-NILE22463	0
Entity	system	cluster-NILE22456	system	cluster-NILE22464	0
Entity	system	cluster-NILE22456	system	cluster-NILE22465	0
Entity	system	cluster-NILE22456	system	cluster-NILE22466	0
Entity	system	cluster-NILE22456	system	cluster-NILE22467	0
Entity	system	cluster-NILE22456	system	cluster-NILE22468	0
Entity	system	cluster-NILE22456	system	cluster-NILE22469	0
Entity	system	cluster-NILE22456	system	cluster-NILE22470	0
Entity	system	cluster-NILE22456	system	cluster-NILE22471	0
Entity	system	cluster-NILE22456	system	cluster-NILE22472	0
Entity	system	cluster-NILE22456	system	cluster-NILE22473	0
Entity	system	cluster-NILE22456	system	cluster-NILE22474	0
Entity	system	cluster-NILE22456	system	cluster-NILE22475	0
Entity	system	cluster-NILE22456	system	cluster-NILE22476	0
Entity	system	cluster-NILE22456	system	cluster-NILE22477	0
Entity	system	cluster-NILE22456	system	cluster-NILE22478	0
Entity	system	cluster-NILE22456	system	cluster-NILE22479	0
Entity	system	cluster-NILE22456	system	cluster-NILE22480	0
Entity	system	cluster-NILE22456	system	cluster-NILE22481	0
Entity	system	cluster-NILE22457	system	cluster-NILE22455	0
Entity	system	cluster-NILE22457	system	cluster-NILE22456	0
Entity	system	cluster-NILE22457	system	cluster-NILE22457	1
Entity	system	cluster-NILE22457	system	cluster-NILE22458	0
Entity	system	cluster-NILE22457	system	cluster-NILE22459	0
Entity	system	cluster-NILE22457	system	cluster-NILE22460	0
Entity	system	cluster-NILE22457	system	cluster-NILE22461	0
Entity	system	cluster-NILE22457	system	cluster-NILE22462	0
Entity	system	cluster-NILE22457	system	cluster-NILE22463	0
Entity	system	cluster-NILE22457	system	cluster-NILE22464	0
Entity	system	cluster-NILE22457	system	cluster-NILE22465	0
Entity	system	cluster-NILE22457	system	cluster-NILE22466	0
Entity	system	cluster-NILE22457	system	cluster-NILE22467	0
Entity	system	cluster-NILE22457	system	cluster-NILE22468	0
Entity	system	cluster-NILE22457	system	cluster-NILE22469	0
Entity	system	cluster-NILE22457	system	cluster-NILE22470	0
Entity	system	cluster-NILE22457	system	cluster-NILE22471	1
Entity	system	cluster-NILE22457	system	cluster-NILE22472	0
Entity	system	cluster-NILE22457	system	cluster-NILE22473	0
Entity	system	cluster-NILE22457	system	cluster-NILE22474	0
Entity	system	cluster-NILE22457	system	cluster-NILE22475	0
Entity	system	cluster-NILE22457	system	cluster-NILE22476	0
Entity	system	cluster-NILE22457	system	cluster-NILE22477	0
Entity	system	cluster-NILE22457	system	cluster-NILE22478	0
Entity	system	cluster-NILE22457	system	cluster-NILE22479	0
Entity	system	cluster-NILE22457	system	cluster-NILE22480	0
Entity	system	cluster-NILE22457	system	cluster-NILE22481	0
Entity	system	cluster-NILE22458	system	cluster-NILE22455	0
Entity	system	cluster-NILE22458	system	cluster-NILE22456	0
Entity	system	cluster-NILE22458	system	cluster-NILE22457	0
Entity	system	cluster-NILE22458	system	cluster-NILE22458	4
Entity	system	cluster-NILE22458	system	cluster-NILE22459	0
Entity	system	cluster-NILE22458	system	cluster-NILE22460	0
Entity	system	cluster-NILE22458	system	cluster-NILE22461	0
Entity	system	cluster-NILE22458	system	cluster-NILE22462	0
Entity	system	cluster-NILE22458	system	cluster-NILE22463	0
Entity	system	cluster-NILE22458	system	cluster-NILE22464	0
Entity	system	cluster-NILE22458	system	cluster-NILE22465	0
Entity	system	cluster-NILE22458	system	cluster-NILE22466	0
Entity	system	cluster-NILE22458	system	cluster-NILE22467	0
Entity	system	cluster-NILE22458	system	cluster-NILE22468	0
Entity	system	cluster-NILE22458	system	cluster-NILE22469	0
Entity	system	cluster-NILE22458	system	cluster-NILE22470	0
Entity	system	cluster-NILE22458	system	cluster-NILE22471	0
Entity	system	cluster-NILE22458	system	cluster-NILE22472	0
Entity	system	cluster-NILE22458	system	cluster-NILE22473	0
Entity	system	cluster-NILE22458	system	cluster-NILE22474	0
Entity	system	cluster-NILE22458	system	cluster-NILE22475	0
Entity	system	cluster-NILE22458	system	cluster-NILE22476	0
Entity	system	cluster-NILE22458	system	cluster-NILE22477	0
Entity	system	cluster-NILE22458	system	cluster-NILE22478	0
