?cluster	?sa_month	?sa_day	?sa_year	?sb_month	?sb_day	?sb_year	?ea_month	?ea_day	?ea_year	?eb_month	?eb_day	?eb_year
cluster-NILCRML0C0496PB.000350	"01"	"01"	"0001"	"12"	"31"	"9999"	"01"	"01"	"0001"	"12"	"31"	"9999"
cluster-NILCRML0C0496PB.000450	"01"	"01"	"0001"	"03"	"16"	"2020"	"01"	"01"	"0001"	"12"	"31"	"9999"
cluster-NILCVML0C0496PB.000158	"03"	"16"	"2020"	"03"	"16"	"2020"	"03"	"16"	"2020"	"03"	"16"	"2020"
cluster-NILCVML0C0496PB.000186	"01"	"01"	"0001"	"03"	"16"	"2020"	"01"	"01"	"0001"	"03"	"16"	"2020"
cluster-NILCVML0C0496PB.000214	"01"	"01"	"0001"	"03"	"16"	"2020"	"01"	"01"	"0001"	"03"	"16"	"2020"
cluster-NILCVML0C0496PB.000288	"01"	"01"	"0001"	"12"	"31"	"9999"	"01"	"01"	"0001"	"12"	"31"	"9999"
cluster-NILCVML0C0496PB.000370	"01"	"01"	"0001"	"12"	"31"	"9999"	"01"	"01"	"0001"	"12"	"31"	"9999"
cluster-NILCVML0C0496PB.000418	"01"	"01"	"0001"	"12"	"31"	"9999"	"01"	"01"	"0001"	"12"	"31"	"9999"
cluster-NILCVML0C0496PB.000478	"03"	"16"	"2020"	"03"	"16"	"2020"	"03"	"16"	"2020"	"03"	"16"	"2020"
cluster-NILCVML0C0496PB.000510	"01"	"01"	"0001"	"12"	"31"	"9999"	"01"	"01"	"0001"	"12"	"31"	"9999"
