metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE21445	cluster-NILE21445	1
Entity	cluster-NILE21446	cluster-NILE21446	1
Entity	cluster-NILE21447	cluster-NILE21447	1
Entity	cluster-NILE21448	cluster-NILE21448	1
Entity	cluster-NILE21449	cluster-NILE21449	1
Entity	cluster-NILE21450	cluster-NILE21450	1
Entity	cluster-NILE21451	cluster-NILE21451	1
Entity	cluster-NILE21452	cluster-NILE21452	1
Entity	cluster-NILE21453	cluster-NILE21453	1
Entity	cluster-NILE21454	cluster-NILE21454	1
Entity	cluster-NILE21455	cluster-NILE21455	1
Entity	cluster-NILE21456	cluster-NILE21456	1
Entity	cluster-NILE21457	cluster-NILE21457	1
Entity	cluster-NILE21458	cluster-NILE21458	1
Entity	cluster-NILE21459	cluster-NILE21459	2
Entity	cluster-NILE21460	cluster-NILE21460	1
Entity	cluster-NILE21461	cluster-NILE21461	1
Entity	cluster-NILE21462	cluster-NILE21462	2
Relation	cluster-NILR21445	cluster-NILR21445	1
Event	cluster-NILV21445	cluster-NILV21445	2
Event	cluster-NILV21446	cluster-NILV21446	1
Event	cluster-NILV21447	cluster-NILV21447	3
