?cluster	?metatype	?type	?mention_span	?type_statement_confidence	?cluster_membership_confidence	?mention_type_justification_confidence
cluster-NILE20066	Entity	GPE.UrbanArea.City	IC001V9U9:IC001VBJM:(3504,0)-(3508,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20066	Entity	GPE.UrbanArea.City	IC001V9U9:IC001VBJM:(420,0)-(424,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20067	Entity	GPE.UrbanArea.City	IC001V9U9:IC001VBJM:(3493,0)-(3498,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20067	Entity	GPE.UrbanArea.City	IC001V9U9:IC001VBJM:(430,0)-(435,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20069	Entity	FAC.Building.ApartmentBuilding	IC001V9U9:IC001VBJM:(2832,0)-(2854,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20069	Entity	FAC.Building.ApartmentBuilding	IC001V9U9:IC001VBJM:(2857,0)-(2861,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20069	Entity	FAC.Building.ApartmentBuilding	IC001V9U9:IC001VBJM:(2935,0)-(2946,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20069	Entity	FAC.Building.ApartmentBuilding	IC001V9U9:IC001VBJM:(318,0)-(339,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20070	Entity	FAC.Building.ApartmentBuilding	IC001V9U9:IC001VBJM:(2459,0)-(2484,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20071	Entity	FAC.Building.ApartmentBuilding	IC001V9U9:IC001VBJM:(1461,0)-(1551,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20071	Entity	FAC.Building.ApartmentBuilding	IC001V9U9:IC001VBJM:(2671,0)-(2680,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20071	Entity	FAC.Building.ApartmentBuilding	IC001V9U9:IC001VBJM:(2753,0)-(2764,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20072	Entity	FAC.Installation.MilitaryInstallation	IC001V9U9:IC001VBJM:(2045,0)-(2063,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20073	Entity	FAC.Way.Street	IC001V9U9:IC001VBJM:(2522,0)-(2541,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20074	Entity	FAC.Way.Street	IC001V9U9:IC001VBJM:(1480,0)-(1489,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20075	Entity	GPE.Country.Country	IC001V9U9:IC001VBJM:(1872,0)-(1881,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20075	Entity	GPE.Country.Country	IC001V9U9:IC001VBJM:(1886,0)-(1887,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20075	Entity	GPE.Country.Country	IC001V9U9:IC001VBJM:(194,0)-(203,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20075	Entity	GPE.Country.Country	IC001V9U9:IC001VBJM:(2191,0)-(2199,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20075	Entity	GPE.Country.Country	IC001V9U9:IC001VBJM:(3003,0)-(3012,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20075	Entity	GPE.Country.Country	IC001V9U9:IC001VBJM:(3916,0)-(3924,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20075	Entity	GPE.Country.Country	IC001V9U9:IC001VBJM:(4127,0)-(4135,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20075	Entity	GPE.Country.Country	IC001V9U9:IC001VBJM:(659,0)-(667,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20076	Entity	GPE.Country.Country	IC001V9U9:IC001VBJM:(3521,0)-(3529,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20076	Entity	GPE.Country.Country	IC001V9U9:IC001VBJM:(3579,0)-(3586,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20077	Entity	GPE.Country.Country	IC001V9U9:IC001VBJM:(3747,0)-(3749,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20077	Entity	GPE.Country.Country	IC001V9U9:IC001VBJM:(4020,0)-(4022,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20078	Entity	LOC.Position	IC001V9U9:IC001VBJM:(2709,0)-(2718,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20079	Entity	LOC.GeographicPoint	IC001V9U9:IC001VBJM:(1501,0)-(1505,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20080	Entity	VAL.Number.Number	IC001V9U9:IC001VBJM:(1015,0)-(1017,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20081	Entity	WEA	IC001V9U9:IC001VBJM:(1003,0)-(1050,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20081	Entity	WEA	IC001V9U9:IC001VBJM:(139,0)-(148,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20081	Entity	WEA	IC001V9U9:IC001VBJM:(4591,0)-(4600,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20082	Entity	VAL.Number.Number	IC001V9U9:IC001VBJM:(1155,0)-(1158,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20083	Entity	PER	IC001V9U9:IC001VBJM:(1968,0)-(1976,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20084	Entity	ORG.Government	IC001V9U9:IC001VBJM:(1570,0)-(1571,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20084	Entity	ORG.Government	IC001V9U9:IC001VBJM:(1744,0)-(1757,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20084	Entity	ORG.Government	IC001V9U9:IC001VBJM:(343,0)-(356,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20084	Entity	ORG.Government	IC001V9U9:IC001VBJM:(3898,0)-(3924,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20084	Entity	ORG.Government	IC001V9U9:IC001VBJM:(3952,0)-(3955,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20084	Entity	ORG.Government	IC001V9U9:IC001VBJM:(4146,0)-(4159,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20084	Entity	ORG.Government	IC001V9U9:IC001VBJM:(4244,0)-(4257,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20084	Entity	ORG.Government	IC001V9U9:IC001VBJM:(447,0)-(450,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20085	Entity	PER	IC001V9U9:IC001VBJM:(88,0)-(98,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20086	Entity	ORG	IC001V9U9:IC001VBJM:(1179,0)-(1192,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20087	Entity	PER	IC001V9U9:IC001VBJM:(1067,0)-(1074,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20088	Entity	PER	IC001V9U9:IC001VBJM:(616,0)-(626,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20089	Entity	PER.Politician.HeadOfGovernment	IC001V9U9:IC001VBJM:(3762,0)-(3773,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20089	Entity	PER.Politician.HeadOfGovernment	IC001V9U9:IC001VBJM:(3819,0)-(3823,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20090	Entity	VEH.Aircraft.Drone	IC001V9U9:IC001VBJM:(139,0)-(161,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20090	Entity	VEH.Aircraft.Drone	IC001V9U9:IC001VBJM:(3650,0)-(3654,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20090	Entity	VEH.Aircraft.Drone	IC001V9U9:IC001VBJM:(4637,0)-(4640,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20091	Entity	VAL.Number.Number	IC001V9U9:IC001VBJM:(2836,0)-(2840,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20092	Entity	ORG	IC001V9U9:IC001VBJM:(3871,0)-(3873,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20093	Entity	ORG.Government	IC001V9U9:IC001VBJM:(3579,0)-(3599,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20094	Entity	ORG.Government	IC001V9U9:IC001VBJM:(3692,0)-(3701,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20094	Entity	ORG.Government	IC001V9U9:IC001VBJM:(3976,0)-(3977,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20094	Entity	ORG.Government	IC001V9U9:IC001VBJM:(4039,0)-(4040,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20095	Entity	VAL.Number.Number	IC001V9U9:IC001VBJM:(1534,0)-(1541,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20096	Entity	PER.ProfessionalPosition	IC001V9U9:IC001VBJM:(3853,0)-(3863,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20097	Entity	PER.Politician.HeadOfGovernment	IC001V9U9:IC001VBJM:(3541,0)-(3558,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20097	Entity	PER.Politician.HeadOfGovernment	IC001V9U9:IC001VBJM:(3623,0)-(3628,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20098	Entity	PER.ProfessionalPosition	IC001V9U9:IC001VBJM:(3239,0)-(3248,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20099	Entity	PER	IC001V9U9:IC001VBJM:(3712,0)-(3734,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20099	Entity	PER	IC001V9U9:IC001VBJM:(541,0)-(563,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20100	Entity	PER	IC001V9U9:IC001VBJM:(262,0)-(272,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20100	Entity	PER	IC001V9U9:IC001VBJM:(2768,0)-(2782,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20100	Entity	PER	IC001V9U9:IC001VBJM:(2785,0)-(2799,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20100	Entity	PER	IC001V9U9:IC001VBJM:(2832,0)-(2834,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20100	Entity	PER	IC001V9U9:IC001VBJM:(2863,0)-(2865,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20100	Entity	PER	IC001V9U9:IC001VBJM:(2956,0)-(2958,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20100	Entity	PER	IC001V9U9:IC001VBJM:(2980,0)-(2981,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20100	Entity	PER	IC001V9U9:IC001VBJM:(318,0)-(320,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20101	Entity	ORG	IC001V9U9:IC001VBJM:(1360,0)-(1371,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20101	Entity	ORG	IC001V9U9:IC001VBJM:(2047,0)-(2054,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20102	Entity	VAL.Number.Number	IC001V9U9:IC001VBJM:(1666,0)-(1669,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20103	Entity	PER.ProfessionalPosition.Minister	IC001V9U9:IC001VBJM:(1218,0)-(1231,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20103	Entity	PER.ProfessionalPosition.Minister	IC001V9U9:IC001VBJM:(1345,0)-(1346,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20103	Entity	PER.ProfessionalPosition.Minister	IC001V9U9:IC001VBJM:(1554,0)-(1560,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20103	Entity	PER.ProfessionalPosition.Minister	IC001V9U9:IC001VBJM:(1618,0)-(1624,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20103	Entity	PER.ProfessionalPosition.Minister	IC001V9U9:IC001VBJM:(1701,0)-(1707,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20103	Entity	PER.ProfessionalPosition.Minister	IC001V9U9:IC001VBJM:(1769,0)-(1770,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20104	Entity	PER.Politician.HeadOfGovernment	IC001V9U9:IC001VBJM:(1059,0)-(1064,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20104	Entity	PER.Politician.HeadOfGovernment	IC001V9U9:IC001VBJM:(1067,0)-(1069,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20104	Entity	PER.Politician.HeadOfGovernment	IC001V9U9:IC001VBJM:(1101,0)-(1102,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20104	Entity	PER.Politician.HeadOfGovernment	IC001V9U9:IC001VBJM:(1273,0)-(1285,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20104	Entity	PER.Politician.HeadOfGovernment	IC001V9U9:IC001VBJM:(1340,0)-(1342,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20104	Entity	PER.Politician.HeadOfGovernment	IC001V9U9:IC001VBJM:(1507,0)-(1512,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20104	Entity	PER.Politician.HeadOfGovernment	IC001V9U9:IC001VBJM:(215,0)-(228,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20104	Entity	PER.Politician.HeadOfGovernment	IC001V9U9:IC001VBJM:(2236,0)-(2241,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20104	Entity	PER.Politician.HeadOfGovernment	IC001V9U9:IC001VBJM:(3047,0)-(3052,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20104	Entity	PER.Politician.HeadOfGovernment	IC001V9U9:IC001VBJM:(3103,0)-(3104,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20104	Entity	PER.Politician.HeadOfGovernment	IC001V9U9:IC001VBJM:(3176,0)-(3181,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20104	Entity	PER.Politician.HeadOfGovernment	IC001V9U9:IC001VBJM:(3188,0)-(3189,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20104	Entity	PER.Politician.HeadOfGovernment	IC001V9U9:IC001VBJM:(3259,0)-(3261,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20104	Entity	PER.Politician.HeadOfGovernment	IC001V9U9:IC001VBJM:(3288,0)-(3290,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20104	Entity	PER.Politician.HeadOfGovernment	IC001V9U9:IC001VBJM:(3425,0)-(3430,0)	"1.0"	"1.0"	"1.0"
