metatype	system_cluster	gold_cluster	system_mention	gold_mention	similarity
Entity	cluster-NILE30056	cluster-NILQE31606	L0C0499MZ:L0C0499NL:(711,205)-(945,235)	L0C0499MZ:L0C0499NL:(711,205)-(945,235)	1.0
Entity	cluster-NILE30056	cluster-NILQE31606	L0C0499MZ:L0C0499NL:(714,217)-(752,236)	L0C0499MZ:L0C0499NL:(714,217)-(752,236)	1.0
Entity	cluster-NILE30056	cluster-NILQE31606	L0C0499MZ:L0C0499NL:(715,205)-(945,235)	L0C0499MZ:L0C0499NL:(715,205)-(945,235)	1.0
Entity	cluster-NILE30056	cluster-NILQE31606	L0C0499MZ:L0C0499NL:(715,205)-(947,238)	L0C0499MZ:L0C0499NL:(715,205)-(947,238)	1.0
Entity	cluster-NILE30056	cluster-NILQE31606	L0C0499MZ:L0C0499NL:(719,55)-(763,73)	L0C0499MZ:L0C0499NL:(719,55)-(763,73)	1.0
Entity	cluster-NILE30056	cluster-NILQE31606	L0C0499MZ:L0C0499NL:(725,368)-(817,385)	L0C0499MZ:L0C0499NL:(725,368)-(817,385)	1.0
Entity	cluster-NILE30056	cluster-NILQE31606	L0C0499MZ:L0C0499NL:(762,216)-(830,237)	L0C0499MZ:L0C0499NL:(762,216)-(830,237)	1.0
Entity	cluster-NILE30056	cluster-NILQE31606	L0C0499MZ:L0C0499NL:(775,54)-(848,72)	L0C0499MZ:L0C0499NL:(775,54)-(848,72)	1.0
Entity	cluster-NILE30056	cluster-NILQE31606	L0C0499MZ:L0C0499NL:(880,369)-(927,384)	L0C0499MZ:L0C0499NL:(880,369)-(927,384)	1.0
Entity	cluster-NILE30056	cluster-NILQE31606	L0C0499MZ:L0C0499NT:(223,63)-(298,75)	L0C0499MZ:L0C0499NT:(223,63)-(298,75)	1.0
Entity	cluster-NILE30056	cluster-NILQE31606	L0C0499MZ:L0C0499NT:(223,68)-(237,75)	L0C0499MZ:L0C0499NT:(223,68)-(237,75)	1.0
Entity	cluster-NILE30056	cluster-NILQE31606	L0C0499MZ:L0C0499NT:(224,16)-(240,23)	L0C0499MZ:L0C0499NT:(224,16)-(240,23)	1.0
