metatype	system_or_gold1	cluster1	system_or_gold2	cluster2	type_similarity	similarity
Entity	system	cluster-NILE30025	system	cluster-NILE30025	1.0	4.0
Entity	system	cluster-NILE30025	system	cluster-NILE30028	1.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30029	1.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30030	1.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30031	1.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30033	1.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30034	1.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30035	1.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30036	1.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30037	0.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30038	0.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30040	1.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30041	1.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30042	1.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30043	0.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30045	0.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30046	0.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30049	1.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30050	0.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30051	0.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30052	0.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30054	1.0	0.0
Entity	system	cluster-NILE30025	system	cluster-NILE30055	0.0	0.0
Entity	system	cluster-NILE30025	system	cluster-Q1006223	0.0	0.0
Entity	system	cluster-NILE30025	system	cluster-Q183	0.0382837344	0.0
Entity	system	cluster-NILE30025	system	cluster-Q824	0.08325431850000001	0.0
Entity	system	cluster-NILE30025	system	cluster-Q861888	0.0	0.0
Entity	system	cluster-NILE30025	system	cluster-Q91391319	0.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30025	1.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30028	1.0	6.0
Entity	system	cluster-NILE30028	system	cluster-NILE30029	1.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30030	1.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30031	1.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30033	1.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30034	1.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30035	1.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30036	1.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30037	0.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30038	0.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30040	1.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30041	1.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30042	1.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30043	0.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30045	0.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30046	0.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30049	1.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30050	0.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30051	0.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30052	0.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30054	1.0	0.0
Entity	system	cluster-NILE30028	system	cluster-NILE30055	0.0	0.0
Entity	system	cluster-NILE30028	system	cluster-Q1006223	0.0	0.0
Entity	system	cluster-NILE30028	system	cluster-Q183	0.0382837344	0.0
Entity	system	cluster-NILE30028	system	cluster-Q824	0.08325431850000001	0.0
Entity	system	cluster-NILE30028	system	cluster-Q861888	0.0	0.0
Entity	system	cluster-NILE30028	system	cluster-Q91391319	0.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30025	1.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30028	1.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30029	1.0	6.0
Entity	system	cluster-NILE30029	system	cluster-NILE30030	1.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30031	1.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30033	1.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30034	1.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30035	1.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30036	1.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30037	0.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30038	0.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30040	1.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30041	1.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30042	1.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30043	0.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30045	0.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30046	0.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30049	1.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30050	0.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30051	0.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30052	0.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30054	1.0	0.0
Entity	system	cluster-NILE30029	system	cluster-NILE30055	0.0	0.0
Entity	system	cluster-NILE30029	system	cluster-Q1006223	0.0	0.0
Entity	system	cluster-NILE30029	system	cluster-Q183	0.0382837344	0.0
Entity	system	cluster-NILE30029	system	cluster-Q824	0.08325431850000001	0.0
Entity	system	cluster-NILE30029	system	cluster-Q861888	0.0	0.0
Entity	system	cluster-NILE30029	system	cluster-Q91391319	0.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30025	1.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30028	1.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30029	1.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30030	1.0	1.0
Entity	system	cluster-NILE30030	system	cluster-NILE30031	1.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30033	1.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30034	1.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30035	1.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30036	1.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30037	0.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30038	0.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30040	1.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30041	1.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30042	1.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30043	0.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30045	0.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30046	0.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30049	1.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30050	0.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30051	0.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30052	0.0	0.0
Entity	system	cluster-NILE30030	system	cluster-NILE30054	1.0	0.0
