metatype	system_or_gold1	cluster1	system_or_gold2	cluster2	type_similarity	similarity
Entity	system	cluster-NILE30056	system	cluster-NILE30056	1.0	27.0
Entity	system	cluster-NILE30056	system	cluster-NILE30057	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30059	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30060	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30061	1.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30062	1.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30063	0.1848417965	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30064	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30065	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30066	0.2032319592	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30068	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30069	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30070	0.25495924714999996	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30071	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30072	0.18468040075	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30073	0.06621226935	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30074	0.0948199395	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30076	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30077	0.25764519455	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30078	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30081	1.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30082	0.25764519455	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30083	1.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30084	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30085	0.021397289649999998	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30086	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30087	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30088	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30089	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30090	0.021397289649999998	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30091	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30092	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30093	0.2066997297	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30094	0.06621226935	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30095	0.25764519455	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30096	0.0895287739	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30097	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30098	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30100	0.0895287739	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30101	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30102	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30103	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30104	0.0895287739	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30105	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30106	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30107	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30109	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30110	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30111	0.25764519455	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30112	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30113	0.25764519455	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30114	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30115	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30116	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30117	0.25764519455	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30118	0.0895287739	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30119	0.25764519455	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30120	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30126	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30127	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30128	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30129	0.1848417965	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30130	0.1848417965	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30131	0.1848417965	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30132	0.1848417965	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30133	0.14645155265	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30134	0.0948199395	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30135	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30136	0.25764519455	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30137	0.13107428795	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30138	0.25764519455	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30139	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30140	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30141	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30142	0.25764519455	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30143	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30144	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30145	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30146	0.25764519455	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30147	0.25764519455	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30148	0.25764519455	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30150	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30151	0.25764519455	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30152	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30153	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30154	0.0	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30156	0.25764519455	0.0
Entity	system	cluster-NILE30056	system	cluster-NILE30157	0.0	0.0
