?metatype	?subject	?predicate	?object	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
Event	cluster-NILV21055	ArtifactExistence.DamageDestroy.Destroy_Artifact	cluster-NILE21061	IC001V8NY:IC001VBHL:(1905,0)-(1913,0)	"1.0"	"1.0"
Event	cluster-NILV21055	ArtifactExistence.DamageDestroy.Destroy_Artifact	cluster-NILE21061	IC001V8NY:IC001VBHL:(2956,0)-(2964,0)	"1.0"	"1.0"
Event	cluster-NILV21055	ArtifactExistence.DamageDestroy.Destroy_Destroyer	cluster-NILE21089	IC001V8NY:IC001VBHL:(1905,0)-(1913,0)	"1.0"	"1.0"
Event	cluster-NILV21055	ArtifactExistence.DamageDestroy.Destroy_Destroyer	cluster-NILE21089	IC001V8NY:IC001VBHL:(2956,0)-(2964,0)	"1.0"	"1.0"
Event	cluster-NILV21055	Conflict.Attack.FirearmAttack_Attacker	cluster-NILE21089	IC001V8NY:IC001VBHL:(1919,0)-(1926,0)	"1.0"	"1.0"
Event	cluster-NILV21055	Conflict.Attack.FirearmAttack_Target	cluster-NILE21061	IC001V8NY:IC001VBHL:(1919,0)-(1926,0)	"1.0"	"1.0"
Event	cluster-NILV21056	Conflict.Attack_Target	cluster-NILE21090	IC001V8NY:IC001VBHL:(6528,0)-(6533,0)	"1.0"	"1.0"
Event	cluster-NILV21057	Contact.MediaStatement.Broadcast_Communicator	cluster-NILE21084	IC001V8NY:IC001VBHL:(2623,0)-(2629,0)	"1.0"	"1.0"
Event	cluster-NILV21057	Contact.MediaStatement.Broadcast_Communicator	cluster-NILE21084	IC001V8NY:IC001VBHL:(2819,0)-(2829,0)	"1.0"	"1.0"
Event	cluster-NILV21057	Contact.MediaStatement.Broadcast_Communicator	cluster-NILE21084	IC001V8NY:IC001VBHL:(2927,0)-(2933,0)	"1.0"	"1.0"
Event	cluster-NILV21057	Contact.MediaStatement.Broadcast_Communicator	cluster-NILE21084	IC001V8NY:IC001VBHL:(3826,0)-(3836,0)	"1.0"	"1.0"
Event	cluster-NILV21057	Contact.MediaStatement.Broadcast_Communicator	cluster-NILE21084	IC001V8NY:IC001VBHL:(3839,0)-(3845,0)	"1.0"	"1.0"
Event	cluster-NILV21058	Conflict.Attack.Bombing_Target	cluster-NILE21083	IC001V8NY:IC001VBHL:(5911,0)-(5918,0)	"1.0"	"1.0"
Event	cluster-NILV21058	Conflict.Attack.Bombing_Target	cluster-NILE21083	IC001V8NY:IC001VBHL:(6900,0)-(6907,0)	"1.0"	"1.0"
Event	cluster-NILV21059	Movement.TransportArtifact_Artifact	cluster-NILE21127	IC001V8NY:IC001VBHL:(2847,0)-(2853,0)	"1.0"	"1.0"
Event	cluster-NILV21059	Movement.TransportArtifact_Vehicle	cluster-NILE21068	IC001V8NY:IC001VBHL:(2847,0)-(2853,0)	"1.0"	"1.0"
Event	cluster-NILV21060	Disaster.AccidentCrash.AccidentCrash_CrashObject	cluster-NILE21079	IC001V8NY:IC001VBHL:(1402,0)-(1410,0)	"1.0"	"1.0"
Event	cluster-NILV21060	Disaster.AccidentCrash.AccidentCrash_CrashObject	cluster-NILE21079	IC001V8NY:IC001VBHL:(3002,0)-(3009,0)	"1.0"	"1.0"
Event	cluster-NILV21060	Disaster.AccidentCrash.AccidentCrash_Place	cluster-NILE21064	IC001V8NY:IC001VBHL:(1402,0)-(1410,0)	"1.0"	"1.0"
Event	cluster-NILV21060	Disaster.AccidentCrash.AccidentCrash_Vehicle	cluster-NILE21142	IC001V8NY:IC001VBHL:(1402,0)-(1410,0)	"1.0"	"1.0"
Event	cluster-NILV21060	Disaster.AccidentCrash.AccidentCrash_Vehicle	cluster-NILE21142	IC001V8NY:IC001VBHL:(3002,0)-(3009,0)	"1.0"	"1.0"
Event	cluster-NILV21061	Contact.MediaStatement.Broadcast_Communicator	cluster-NILE21104	IC001V8NY:IC001VBHL:(910,0)-(920,0)	"1.0"	"1.0"
Event	cluster-NILV21062	Contact.MediaStatement.Broadcast_Communicator	cluster-NILE21128	IC001V8NY:IC001VBHL:(667,0)-(675,0)	"1.0"	"1.0"
Event	cluster-NILV21063	Contact.MediaStatement.Broadcast_Communicator	cluster-NILE21083	IC001V8NY:IC001VBHL:(5936,0)-(5945,0)	"1.0"	"1.0"
Event	cluster-NILV21064	Contact.MediaStatement.Broadcast_Communicator	cluster-NILE21078	IC001V8NY:IC001VBHL:(8665,0)-(8669,0)	"1.0"	"1.0"
Event	cluster-NILV21064	Contact.MediaStatement.Broadcast_Communicator	cluster-NILE21078	IC001V8NY:IC001VBHL:(8813,0)-(8823,0)	"1.0"	"1.0"
Event	cluster-NILV21065	Justice.ArrestJailDetain.ArrestJailDetain_Detainee	cluster-NILE21078	IC001V8NY:IC001VBHL:(8469,0)-(8476,0)	"1.0"	"1.0"
Event	cluster-NILV21065	Justice.ArrestJailDetain.ArrestJailDetain_Jailer	cluster-NILE21086	IC001V8NY:IC001VBHL:(8469,0)-(8476,0)	"1.0"	"1.0"
Event	cluster-NILV21065	Justice.ArrestJailDetain.ArrestJailDetain_Place	cluster-NILE21121	IC001V8NY:IC001VBHL:(8469,0)-(8476,0)	"1.0"	"1.0"
Event	cluster-NILV21066	Movement.TransportArtifact_Artifact	cluster-NILE21140	IC001V8NY:IC001VBHL:(4498,0)-(4505,0)	"1.0"	"1.0"
Event	cluster-NILV21066	Movement.TransportArtifact_Destination	cluster-NILE21122	IC001V8NY:IC001VBHL:(4498,0)-(4505,0)	"1.0"	"1.0"
Event	cluster-NILV21068	Conflict.Attack_Target	cluster-NILE21078	IC001V8NY:IC001VBHL:(8869,0)-(8875,0)	"1.0"	"1.0"
Event	cluster-NILV21069	Transaction.TransferMoney_Giver	cluster-NILE21060	IC001V8NY:IC001VBHL:(6882,0)-(6894,0)	"1.0"	"1.0"
Event	cluster-NILV21070	Transaction.TransferMoney_Giver	cluster-NILE21105	IC001V8NY:IC001VBHL:(6882,0)-(6894,0)	"1.0"	"1.0"
Event	cluster-NILV21071	Transaction.TransferMoney_Giver	cluster-NILE21077	IC001V8NY:IC001VBHL:(6515,0)-(6523,0)	"1.0"	"1.0"
Event	cluster-NILV21072	Conflict.Coup.Coup_DeposingEntity	cluster-NILE21076	IC001V8NY:IC001VBHL:(6753,0)-(6761,0)	"1.0"	"1.0"
Event	cluster-NILV21073	Life.Injure.InjuryCausedByViolentEvents_Place	cluster-NILE21063	IC001V8NY:IC001VBHL:(2007,0)-(2013,0)	"1.0"	"1.0"
Event	cluster-NILV21073	Life.Injure.InjuryCausedByViolentEvents_Victim	cluster-NILE21109	IC001V8NY:IC001VBHL:(2007,0)-(2013,0)	"1.0"	"1.0"
Event	cluster-NILV21074	ArtifactExistence.ArtifactFailure.MechanicalFailure_Instrument	cluster-NILE21138	IC001V8NY:IC001VBHL:(3873,0)-(3884,0)	"1.0"	"1.0"
Event	cluster-NILV21074	ArtifactExistence.ArtifactFailure.MechanicalFailure_MechanicalArtifact	cluster-NILE21135	IC001V8NY:IC001VBHL:(3873,0)-(3884,0)	"1.0"	"1.0"
Event	cluster-NILV21074	ArtifactExistence.ArtifactFailure.MechanicalFailure_MechanicalArtifact	cluster-NILE21140	IC001V8NY:IC001VBHL:(4547,0)-(4558,0)	"1.0"	"1.0"
Event	cluster-NILV21074	ArtifactExistence.ArtifactFailure.MechanicalFailure_Place	cluster-NILE21063	IC001V8NY:IC001VBHL:(3873,0)-(3884,0)	"1.0"	"1.0"
