metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE22415	cluster-NILE22415	3
Entity	cluster-NILE22416	cluster-NILE22416	4
Entity	cluster-NILE22417	cluster-NILE22417	2
Entity	cluster-NILE22418	cluster-NILE22418	4
Entity	cluster-NILE22419	cluster-NILE22419	7
Entity	cluster-NILE22420	cluster-NILE22420	2
Entity	cluster-NILE22421	cluster-NILE22421	2
Entity	cluster-NILE22422	cluster-NILE22422	1
Entity	cluster-NILE22423	cluster-NILE22423	2
Entity	cluster-NILE22424	cluster-NILE22424	3
Entity	cluster-NILE22426	cluster-NILE22426	1
Entity	cluster-NILE22427	cluster-NILE22427	2
Entity	cluster-NILE22429	cluster-NILE22429	1
Entity	cluster-NILE22430	cluster-NILE22430	2
Entity	cluster-NILE22431	cluster-NILE22431	1
Relation	cluster-NILR22415	cluster-NILR22415	1
Relation	cluster-NILR22416	cluster-NILR22416	1
Relation	cluster-NILR22417	cluster-NILR22417	1
Relation	cluster-NILR22418	cluster-NILR22418	1
Relation	cluster-NILR22419	cluster-NILR22419	1
Event	cluster-NILV22415	cluster-NILV22415	1
Event	cluster-NILV22416	cluster-NILV22416	1
Event	cluster-NILV22417	cluster-NILV22417	1
Event	cluster-NILV22418	cluster-NILV22418	3
Event	cluster-NILV22420	cluster-NILV22420	1
Event	cluster-NILV22421	cluster-NILV22421	1
Event	cluster-NILV22422	cluster-NILV22422	1
