metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE21620	cluster-NILE21620	1
Entity	cluster-NILE21621	cluster-NILE21621	2
Entity	cluster-NILE21622	cluster-NILE21622	2
Entity	cluster-NILE21623	cluster-NILE21623	1
Entity	cluster-NILE21624	cluster-NILE21624	1
Entity	cluster-NILE21625	cluster-NILE21625	5
Entity	cluster-NILE21626	cluster-NILE21626	2
Entity	cluster-NILE21627	cluster-NILE21627	4
Entity	cluster-NILE21628	cluster-NILE21628	3
Entity	cluster-NILE21629	cluster-NILE21629	1
Entity	cluster-NILE21630	cluster-NILE21630	1
Entity	cluster-NILE21631	cluster-NILE21631	2
Entity	cluster-NILE21632	cluster-NILE21632	1
Entity	cluster-NILE21633	cluster-NILE21633	1
Entity	cluster-NILE21634	cluster-NILE21634	1
Entity	cluster-NILE21635	cluster-NILE21635	1
Entity	cluster-NILE21636	cluster-NILE21636	1
Entity	cluster-NILE21637	cluster-NILE21637	1
Entity	cluster-NILE21638	cluster-NILE21638	1
Entity	cluster-NILE21639	cluster-NILE21639	3
Entity	cluster-NILE21640	cluster-NILE21640	3
Entity	cluster-NILE21641	cluster-NILE21641	2
Entity	cluster-NILE21642	cluster-NILE21642	1
Entity	cluster-NILE21643	cluster-NILE21643	2
Entity	cluster-NILE21644	cluster-NILE21644	3
Entity	cluster-NILE21645	cluster-NILE21645	6
Entity	cluster-NILE21646	cluster-NILE21646	5
Entity	cluster-NILE21647	cluster-NILE21647	1
Entity	cluster-NILE21648	cluster-NILE21648	1
Entity	cluster-NILE21649	cluster-NILE21649	1
Entity	cluster-NILE21650	cluster-NILE21650	5
Entity	cluster-NILE21651	cluster-NILE21651	1
Entity	cluster-NILE21652	cluster-NILE21652	4
Entity	cluster-NILE21653	cluster-NILE21653	2
Entity	cluster-NILE21654	cluster-NILE21654	1
Entity	cluster-NILE21655	cluster-NILE21655	1
Entity	cluster-NILE21656	cluster-NILE21656	3
Entity	cluster-NILE21657	cluster-NILE21657	2
Entity	cluster-NILE21658	cluster-NILE21658	2
Relation	cluster-NILR21620	cluster-NILR21620	1
Relation	cluster-NILR21621	cluster-NILR21621	1
Relation	cluster-NILR21622	cluster-NILR21622	1
Relation	cluster-NILR21623	cluster-NILR21623	1
Event	cluster-NILV21630	cluster-NILV21630	2
Event	cluster-NILV21631	cluster-NILV21631	1
Event	cluster-NILV21633	cluster-NILV21633	1
Event	cluster-NILV21634	cluster-NILV21634	1
Event	cluster-NILV21635	cluster-NILV21635	2
Event	cluster-NILV21636	cluster-NILV21636	1
Event	cluster-NILV21637	cluster-NILV21637	1
Event	cluster-NILV21639	cluster-NILV21639	1
Event	cluster-NILV21640	cluster-NILV21640	1
Event	cluster-NILV21641	cluster-NILV21641	1
Event	cluster-NILV21642	cluster-NILV21642	1
Event	cluster-NILV21643	cluster-NILV21643	1
Event	cluster-NILV21644	cluster-NILV21644	1
Event	cluster-NILV21645	cluster-NILV21645	1
Event	cluster-NILV21646	cluster-NILV21646	1
Event	cluster-NILV21647	cluster-NILV21647	1
Event	cluster-NILV21648	cluster-NILV21648	1
