metatype	system_or_gold1	cluster1	system_or_gold2	cluster2	similarity
Entity	system	cluster-NILE22385	system	cluster-NILE22385	1
Entity	system	cluster-NILE22385	system	cluster-NILE22386	0
Entity	system	cluster-NILE22385	system	cluster-NILE22387	0
Entity	system	cluster-NILE22385	system	cluster-NILE22388	0
Entity	system	cluster-NILE22385	system	cluster-NILE22389	0
Entity	system	cluster-NILE22385	system	cluster-NILE22390	0
Entity	system	cluster-NILE22385	system	cluster-NILE22391	0
Entity	system	cluster-NILE22385	system	cluster-NILE22392	0
Entity	system	cluster-NILE22385	system	cluster-NILE22393	0
Entity	system	cluster-NILE22385	system	cluster-NILE22394	0
Entity	system	cluster-NILE22385	system	cluster-NILE22395	0
Entity	system	cluster-NILE22385	system	cluster-NILE22396	0
Entity	system	cluster-NILE22385	system	cluster-NILE22397	0
Entity	system	cluster-NILE22385	system	cluster-NILE22398	0
Entity	system	cluster-NILE22385	system	cluster-NILE22400	0
Entity	system	cluster-NILE22386	system	cluster-NILE22385	0
Entity	system	cluster-NILE22386	system	cluster-NILE22386	1
Entity	system	cluster-NILE22386	system	cluster-NILE22387	0
Entity	system	cluster-NILE22386	system	cluster-NILE22388	0
Entity	system	cluster-NILE22386	system	cluster-NILE22389	0
Entity	system	cluster-NILE22386	system	cluster-NILE22390	0
Entity	system	cluster-NILE22386	system	cluster-NILE22391	0
Entity	system	cluster-NILE22386	system	cluster-NILE22392	0
Entity	system	cluster-NILE22386	system	cluster-NILE22393	0
Entity	system	cluster-NILE22386	system	cluster-NILE22394	0
Entity	system	cluster-NILE22386	system	cluster-NILE22395	0
Entity	system	cluster-NILE22386	system	cluster-NILE22396	0
Entity	system	cluster-NILE22386	system	cluster-NILE22397	0
Entity	system	cluster-NILE22386	system	cluster-NILE22398	0
Entity	system	cluster-NILE22386	system	cluster-NILE22400	0
Entity	system	cluster-NILE22387	system	cluster-NILE22385	0
Entity	system	cluster-NILE22387	system	cluster-NILE22386	0
Entity	system	cluster-NILE22387	system	cluster-NILE22387	1
Entity	system	cluster-NILE22387	system	cluster-NILE22388	0
Entity	system	cluster-NILE22387	system	cluster-NILE22389	0
Entity	system	cluster-NILE22387	system	cluster-NILE22390	0
Entity	system	cluster-NILE22387	system	cluster-NILE22391	0
Entity	system	cluster-NILE22387	system	cluster-NILE22392	0
Entity	system	cluster-NILE22387	system	cluster-NILE22393	0
Entity	system	cluster-NILE22387	system	cluster-NILE22394	0
Entity	system	cluster-NILE22387	system	cluster-NILE22395	0
Entity	system	cluster-NILE22387	system	cluster-NILE22396	0
Entity	system	cluster-NILE22387	system	cluster-NILE22397	0
Entity	system	cluster-NILE22387	system	cluster-NILE22398	0
Entity	system	cluster-NILE22387	system	cluster-NILE22400	0
Entity	system	cluster-NILE22388	system	cluster-NILE22385	0
Entity	system	cluster-NILE22388	system	cluster-NILE22386	0
Entity	system	cluster-NILE22388	system	cluster-NILE22387	0
Entity	system	cluster-NILE22388	system	cluster-NILE22388	8
Entity	system	cluster-NILE22388	system	cluster-NILE22389	0
Entity	system	cluster-NILE22388	system	cluster-NILE22390	0
Entity	system	cluster-NILE22388	system	cluster-NILE22391	0
Entity	system	cluster-NILE22388	system	cluster-NILE22392	0
Entity	system	cluster-NILE22388	system	cluster-NILE22393	0
Entity	system	cluster-NILE22388	system	cluster-NILE22394	0
Entity	system	cluster-NILE22388	system	cluster-NILE22395	0
Entity	system	cluster-NILE22388	system	cluster-NILE22396	0
Entity	system	cluster-NILE22388	system	cluster-NILE22397	0
Entity	system	cluster-NILE22388	system	cluster-NILE22398	0
Entity	system	cluster-NILE22388	system	cluster-NILE22400	0
Entity	system	cluster-NILE22389	system	cluster-NILE22385	0
Entity	system	cluster-NILE22389	system	cluster-NILE22386	0
Entity	system	cluster-NILE22389	system	cluster-NILE22387	0
Entity	system	cluster-NILE22389	system	cluster-NILE22388	0
Entity	system	cluster-NILE22389	system	cluster-NILE22389	2
Entity	system	cluster-NILE22389	system	cluster-NILE22390	0
Entity	system	cluster-NILE22389	system	cluster-NILE22391	0
Entity	system	cluster-NILE22389	system	cluster-NILE22392	0
Entity	system	cluster-NILE22389	system	cluster-NILE22393	0
Entity	system	cluster-NILE22389	system	cluster-NILE22394	0
Entity	system	cluster-NILE22389	system	cluster-NILE22395	0
Entity	system	cluster-NILE22389	system	cluster-NILE22396	0
Entity	system	cluster-NILE22389	system	cluster-NILE22397	0
Entity	system	cluster-NILE22389	system	cluster-NILE22398	0
Entity	system	cluster-NILE22389	system	cluster-NILE22400	0
Entity	system	cluster-NILE22390	system	cluster-NILE22385	0
Entity	system	cluster-NILE22390	system	cluster-NILE22386	0
Entity	system	cluster-NILE22390	system	cluster-NILE22387	0
Entity	system	cluster-NILE22390	system	cluster-NILE22388	0
Entity	system	cluster-NILE22390	system	cluster-NILE22389	0
Entity	system	cluster-NILE22390	system	cluster-NILE22390	1
Entity	system	cluster-NILE22390	system	cluster-NILE22391	0
Entity	system	cluster-NILE22390	system	cluster-NILE22392	0
Entity	system	cluster-NILE22390	system	cluster-NILE22393	0
Entity	system	cluster-NILE22390	system	cluster-NILE22394	0
Entity	system	cluster-NILE22390	system	cluster-NILE22395	0
Entity	system	cluster-NILE22390	system	cluster-NILE22396	0
Entity	system	cluster-NILE22390	system	cluster-NILE22397	0
Entity	system	cluster-NILE22390	system	cluster-NILE22398	1
Entity	system	cluster-NILE22390	system	cluster-NILE22400	0
Entity	system	cluster-NILE22391	system	cluster-NILE22385	0
Entity	system	cluster-NILE22391	system	cluster-NILE22386	0
Entity	system	cluster-NILE22391	system	cluster-NILE22387	0
Entity	system	cluster-NILE22391	system	cluster-NILE22388	0
Entity	system	cluster-NILE22391	system	cluster-NILE22389	0
Entity	system	cluster-NILE22391	system	cluster-NILE22390	0
Entity	system	cluster-NILE22391	system	cluster-NILE22391	1
Entity	system	cluster-NILE22391	system	cluster-NILE22392	0
Entity	system	cluster-NILE22391	system	cluster-NILE22393	0
Entity	system	cluster-NILE22391	system	cluster-NILE22394	0
Entity	system	cluster-NILE22391	system	cluster-NILE22395	0
Entity	system	cluster-NILE22391	system	cluster-NILE22396	0
Entity	system	cluster-NILE22391	system	cluster-NILE22397	0
Entity	system	cluster-NILE22391	system	cluster-NILE22398	0
Entity	system	cluster-NILE22391	system	cluster-NILE22400	0
Entity	system	cluster-NILE22392	system	cluster-NILE22385	0
Entity	system	cluster-NILE22392	system	cluster-NILE22386	0
Entity	system	cluster-NILE22392	system	cluster-NILE22387	0
Entity	system	cluster-NILE22392	system	cluster-NILE22388	0
Entity	system	cluster-NILE22392	system	cluster-NILE22389	0
Entity	system	cluster-NILE22392	system	cluster-NILE22390	0
Entity	system	cluster-NILE22392	system	cluster-NILE22391	0
Entity	system	cluster-NILE22392	system	cluster-NILE22392	5
Entity	system	cluster-NILE22392	system	cluster-NILE22393	0
Entity	system	cluster-NILE22392	system	cluster-NILE22394	0
Entity	system	cluster-NILE22392	system	cluster-NILE22395	0
Entity	system	cluster-NILE22392	system	cluster-NILE22396	0
Entity	system	cluster-NILE22392	system	cluster-NILE22397	0
Entity	system	cluster-NILE22392	system	cluster-NILE22398	0
Entity	system	cluster-NILE22392	system	cluster-NILE22400	0
Entity	system	cluster-NILE22393	system	cluster-NILE22385	0
Entity	system	cluster-NILE22393	system	cluster-NILE22386	0
Entity	system	cluster-NILE22393	system	cluster-NILE22387	0
Entity	system	cluster-NILE22393	system	cluster-NILE22388	0
Entity	system	cluster-NILE22393	system	cluster-NILE22389	0
Entity	system	cluster-NILE22393	system	cluster-NILE22390	0
Entity	system	cluster-NILE22393	system	cluster-NILE22391	0
Entity	system	cluster-NILE22393	system	cluster-NILE22392	0
Entity	system	cluster-NILE22393	system	cluster-NILE22393	1
Entity	system	cluster-NILE22393	system	cluster-NILE22394	0
Entity	system	cluster-NILE22393	system	cluster-NILE22395	0
Entity	system	cluster-NILE22393	system	cluster-NILE22396	0
Entity	system	cluster-NILE22393	system	cluster-NILE22397	0
Entity	system	cluster-NILE22393	system	cluster-NILE22398	0
Entity	system	cluster-NILE22393	system	cluster-NILE22400	0
Entity	system	cluster-NILE22394	system	cluster-NILE22385	0
Entity	system	cluster-NILE22394	system	cluster-NILE22386	0
Entity	system	cluster-NILE22394	system	cluster-NILE22387	0
Entity	system	cluster-NILE22394	system	cluster-NILE22388	0
Entity	system	cluster-NILE22394	system	cluster-NILE22389	0
Entity	system	cluster-NILE22394	system	cluster-NILE22390	0
Entity	system	cluster-NILE22394	system	cluster-NILE22391	0
Entity	system	cluster-NILE22394	system	cluster-NILE22392	0
Entity	system	cluster-NILE22394	system	cluster-NILE22393	0
Entity	system	cluster-NILE22394	system	cluster-NILE22394	1
Entity	system	cluster-NILE22394	system	cluster-NILE22395	0
Entity	system	cluster-NILE22394	system	cluster-NILE22396	0
Entity	system	cluster-NILE22394	system	cluster-NILE22397	0
Entity	system	cluster-NILE22394	system	cluster-NILE22398	0
Entity	system	cluster-NILE22394	system	cluster-NILE22400	0
Entity	system	cluster-NILE22395	system	cluster-NILE22385	0
Entity	system	cluster-NILE22395	system	cluster-NILE22386	0
Entity	system	cluster-NILE22395	system	cluster-NILE22387	0
Entity	system	cluster-NILE22395	system	cluster-NILE22388	0
Entity	system	cluster-NILE22395	system	cluster-NILE22389	0
Entity	system	cluster-NILE22395	system	cluster-NILE22390	0
Entity	system	cluster-NILE22395	system	cluster-NILE22391	0
Entity	system	cluster-NILE22395	system	cluster-NILE22392	0
Entity	system	cluster-NILE22395	system	cluster-NILE22393	0
Entity	system	cluster-NILE22395	system	cluster-NILE22394	0
Entity	system	cluster-NILE22395	system	cluster-NILE22395	1
Entity	system	cluster-NILE22395	system	cluster-NILE22396	0
Entity	system	cluster-NILE22395	system	cluster-NILE22397	0
Entity	system	cluster-NILE22395	system	cluster-NILE22398	0
Entity	system	cluster-NILE22395	system	cluster-NILE22400	0
Entity	system	cluster-NILE22396	system	cluster-NILE22385	0
Entity	system	cluster-NILE22396	system	cluster-NILE22386	0
Entity	system	cluster-NILE22396	system	cluster-NILE22387	0
Entity	system	cluster-NILE22396	system	cluster-NILE22388	0
Entity	system	cluster-NILE22396	system	cluster-NILE22389	0
Entity	system	cluster-NILE22396	system	cluster-NILE22390	0
Entity	system	cluster-NILE22396	system	cluster-NILE22391	0
Entity	system	cluster-NILE22396	system	cluster-NILE22392	0
Entity	system	cluster-NILE22396	system	cluster-NILE22393	0
Entity	system	cluster-NILE22396	system	cluster-NILE22394	0
Entity	system	cluster-NILE22396	system	cluster-NILE22395	0
Entity	system	cluster-NILE22396	system	cluster-NILE22396	1
Entity	system	cluster-NILE22396	system	cluster-NILE22397	0
Entity	system	cluster-NILE22396	system	cluster-NILE22398	0
Entity	system	cluster-NILE22396	system	cluster-NILE22400	0
Entity	system	cluster-NILE22397	system	cluster-NILE22385	0
Entity	system	cluster-NILE22397	system	cluster-NILE22386	0
Entity	system	cluster-NILE22397	system	cluster-NILE22387	0
Entity	system	cluster-NILE22397	system	cluster-NILE22388	0
Entity	system	cluster-NILE22397	system	cluster-NILE22389	0
