?metatype	?subject	?predicate	?object	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
Event	cluster-NILV21230	Conflict.Attack.Bombing_Attacker	cluster-NILE21233	IC001V9CI:IC001V9CL:(45,0)-(52,0)	"1.0"	"1.0"
Event	cluster-NILV21230	Conflict.Attack.Bombing_Instrument	cluster-NILE21234	IC001V9CI:IC001V9CL:(284,0)-(290,0)	"1.0"	"1.0"
Event	cluster-NILV21230	Conflict.Attack.Bombing_Place	cluster-NILE21230	IC001V9CI:IC001V9CL:(284,0)-(290,0)	"1.0"	"1.0"
Event	cluster-NILV21230	Conflict.Attack.Bombing_Place	cluster-NILE21245	IC001V9CI:IC001V9CL:(444,0)-(452,0)	"1.0"	"1.0"
Event	cluster-NILV21230	Conflict.Attack.Bombing_Place	cluster-NILE21246	IC001V9CI:IC001V9CL:(114,0)-(121,0)	"1.0"	"1.0"
Event	cluster-NILV21230	Conflict.Attack.Bombing_Target	cluster-NILE21237	IC001V9CI:IC001V9CL:(114,0)-(121,0)	"1.0"	"1.0"
Event	cluster-NILV21230	Conflict.Attack.Bombing_Target	cluster-NILE21237	IC001V9CI:IC001V9CL:(45,0)-(52,0)	"1.0"	"1.0"
Event	cluster-NILV21231	Contact.MediaStatement.Broadcast_Communicator	cluster-NILE21233	IC001V9CI:IC001V9CK:(79.257,0)-(81.566,0)	"1.0"	"1.0"
Event	cluster-NILV21231	Contact.MediaStatement.Broadcast_Communicator	cluster-NILE21233	IC001V9CI:IC001V9CL:(785,0)-(793,0)	"1.0"	"1.0"
Event	cluster-NILV21231	Contact.MediaStatement.Broadcast_Communicator	cluster-NILE21233	IC001V9CI:IC001V9CL:(852,0)-(859,0)	"1.0"	"1.0"
Event	cluster-NILV21231	Contact.MediaStatement.Broadcast_Recipient	cluster-NILE21249	IC001V9CI:IC001V9CK:(79.257,0)-(81.566,0)	"1.0"	"1.0"
Event	cluster-NILV21231	Contact.MediaStatement.Broadcast_Recipient	cluster-NILE21250	IC001V9CI:IC001V9CK:(79.257,0)-(81.566,0)	"1.0"	"1.0"
Event	cluster-NILV21231	Contact.MediaStatement.Broadcast_Recipient	cluster-NILE21251	IC001V9CI:IC001V9CK:(79.257,0)-(81.566,0)	"1.0"	"1.0"
Event	cluster-NILV21231	Contact.MediaStatement.Broadcast_Recipient	cluster-NILE21252	IC001V9CI:IC001V9CK:(79.257,0)-(81.566,0)	"1.0"	"1.0"
Event	cluster-NILV21231	Contact.MediaStatement.Broadcast_Recipient	cluster-NILE21253	IC001V9CI:IC001V9CK:(79.257,0)-(81.566,0)	"1.0"	"1.0"
Event	cluster-NILV21231	Contact.MediaStatement.Broadcast_Recipient	cluster-NILE21254	IC001V9CI:IC001V9CK:(79.257,0)-(81.566,0)	"1.0"	"1.0"
Event	cluster-NILV21231	Contact.MediaStatement.Broadcast_Recipient	cluster-NILE21255	IC001V9CI:IC001V9CK:(79.257,0)-(81.566,0)	"1.0"	"1.0"
Event	cluster-NILV21232	Justice.ArrestJailDetain.ArrestJailDetain_Detainee	cluster-NILE21233	IC001V9CI:IC001V9CL:(826,0)-(833,0)	"1.0"	"1.0"
Event	cluster-NILV21233	Justice.ArrestJailDetain.ArrestJailDetain_Detainee	cluster-NILE21256	IC001V9CI:IC001V9CL:(880,0)-(887,0)	"1.0"	"1.0"
Event	cluster-NILV21234	Justice.ArrestJailDetain.ArrestJailDetain_Detainee	cluster-NILE21243	IC001V9CI:IC001V9CL:(1484,0)-(1492,0)	"1.0"	"1.0"
Event	cluster-NILV21235	Contact.MediaStatement.Broadcast_Communicator	cluster-NILE21235	IC001V9CI:IC001V9CK:(100.92,0)-(105.574,0)	"1.0"	"1.0"
Event	cluster-NILV21235	Contact.MediaStatement.Broadcast_Place	cluster-NILE21248	IC001V9CI:IC001V9CL:(634,0)-(652,0)	"1.0"	"1.0"
Event	cluster-NILV21235	Contact.MediaStatement.Broadcast_Recipient	cluster-NILE21242	IC001V9CI:IC001V9CK:(100.92,0)-(105.574,0)	"1.0"	"1.0"
Event	cluster-NILV21235	Contact.MediaStatement.Broadcast_Recipient	cluster-NILE21242	IC001V9CI:IC001V9CL:(634,0)-(652,0)	"1.0"	"1.0"
Event	cluster-NILV21236	Contact.Discussion.Correspondence_Participant	cluster-NILE21233	IC001V9CI:IC001V9CK:(90.489,0)-(93.786,0)	"1.0"	"1.0"
Event	cluster-NILV21236	Contact.Discussion.Correspondence_Participant	cluster-NILE21239	IC001V9CI:IC001V9CK:(90.489,0)-(93.786,0)	"1.0"	"1.0"
Event	cluster-NILV21237	Contact.Discussion_Participant	cluster-NILE21233	IC001V9CI:IC001V9CK:(80.105,0)-(82.785,0)	"1.0"	"1.0"
Event	cluster-NILV21237	Contact.Discussion_Participant	cluster-NILE21236	IC001V9CI:IC001V9CK:(80.105,0)-(82.785,0)	"1.0"	"1.0"
Relation	cluster-NILR21230	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	cluster-NILE21241	IC001V9CI:IC001V9CK:(82.623,0)-(89.281,0)	"1.0"	"1.0"
Relation	cluster-NILR21230	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	cluster-NILE21241	IC001V9CI:IC001V9CL:(10,0)-(17,0)	"1.0"	"1.0"
Relation	cluster-NILR21230	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	cluster-NILE21241	IC001V9CI:IC001V9CL:(817,0)-(824,0)	"1.0"	"1.0"
Relation	cluster-NILR21230	GeneralAffiliation.MemberOriginReligionEthnicity_Person	cluster-NILE21233	IC001V9CI:IC001V9CK:(82.623,0)-(89.281,0)	"1.0"	"1.0"
Relation	cluster-NILR21230	GeneralAffiliation.MemberOriginReligionEthnicity_Person	cluster-NILE21233	IC001V9CI:IC001V9CL:(10,0)-(17,0)	"1.0"	"1.0"
Relation	cluster-NILR21230	GeneralAffiliation.MemberOriginReligionEthnicity_Person	cluster-NILE21233	IC001V9CI:IC001V9CL:(817,0)-(824,0)	"1.0"	"1.0"
Relation	cluster-NILR21231	OrganizationAffiliation.EmploymentMembership.Employment_Employee	cluster-NILE21235	IC001V9CI:IC001V9CL:(712,0)-(721,0)	"1.0"	"1.0"
Relation	cluster-NILR21231	OrganizationAffiliation.EmploymentMembership.Employment_PlaceOfEmployment	cluster-NILE21246	IC001V9CI:IC001V9CL:(712,0)-(721,0)	"1.0"	"1.0"
Relation	cluster-NILR21232	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	cluster-NILE21241	IC001V9CI:IC001V9CL:(1178,0)-(1185,0)	"1.0"	"1.0"
Relation	cluster-NILR21232	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	cluster-NILE21241	IC001V9CI:IC001V9CL:(979,0)-(986,0)	"1.0"	"1.0"
