?cluster	?metatype	?type	?mention_span	?type_statement_confidence	?cluster_membership_confidence	?mention_type_justification_confidence
cluster-NILE21230	Entity	FAC.Way.Street	IC001V9CI:IC001V9CL:(220,0)-(234,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21230	Entity	FAC.Way.Street	IC001V9CI:IC001V9CL:(268,0)-(324,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21230	Entity	FAC.Way.Street	IC001V9CI:IC001V9CL:(342,0)-(360,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21231	Entity	GPE.Country.Country	IC001V9CI:IC001V9CL:(1195,0)-(1202,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21231	Entity	GPE.Country.Country	IC001V9CI:IC001V9CL:(1205,0)-(1208,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21231	Entity	GPE.Country.Country	IC001V9CI:IC001V9CL:(1210,0)-(1213,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21231	Entity	GPE.Country.Country	IC001V9CI:IC001V9CL:(1324,0)-(1331,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21232	Entity	PER.Politician.HeadOfGovernment	IC001V9CI:IC001V9CL:(1210,0)-(1230,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21232	Entity	PER.Politician.HeadOfGovernment	IC001V9CI:IC001V9CL:(1233,0)-(1242,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21232	Entity	PER.Politician.HeadOfGovernment	IC001V9CI:IC001V9CL:(1248,0)-(1249,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21233	Entity	PER.Politician	IC001V9CI:IC001V9CK_20:(404,1)-(558,126)	"1.0"	"1.0"	"1.0"
cluster-NILE21233	Entity	PER.Politician	IC001V9CI:IC001V9CK_20:(407,3)-(557,125)	"1.0"	"1.0"	"1.0"
cluster-NILE21233	Entity	PER.Politician	IC001V9CI:IC001V9CK_21:(142,288)-(268,303)	"1.0"	"1.0"	"1.0"
