?metatype	?subject	?predicate	?object	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
Event	cluster-NILV20705	Conflict.Attack_Attacker	cluster-NILE20705	KC003A59I:KC003A59K:(1432.517,0)-(1440.18,0)	"1.0"	"1.0"
Event	cluster-NILV20705	Conflict.Attack_Place	cluster-NILE20717	KC003A59I:KC003A59K:(1432.517,0)-(1440.18,0)	"1.0"	"1.0"
Event	cluster-NILV20705	Conflict.Attack_Target	cluster-NILE20713	KC003A59I:KC003A59K:(1432.517,0)-(1440.18,0)	"1.0"	"1.0"
Event	cluster-NILV20706	Conflict.Attack_Attacker	cluster-NILE20707	KC003A59I:KC003A59K:(1451.372,0)-(1463.076,0)	"1.0"	"1.0"
Event	cluster-NILV20707	Contact.MediaStatement_Communicator	cluster-NILE20708	KC003A59I:KC003A59K:(1398.099,0)-(1418.792,0)	"1.0"	"1.0"
Event	cluster-NILV20707	Contact.MediaStatement_Communicator	cluster-NILE20708	KC003A59I:KC003A59K:(1453.302,0)-(1458.478,0)	"1.0"	"1.0"
Event	cluster-NILV20707	Contact.MediaStatement_Recipient	cluster-NILE20712	KC003A59I:KC003A59K:(1398.099,0)-(1418.792,0)	"1.0"	"1.0"
Event	cluster-NILV20707	Contact.MediaStatement_Recipient	cluster-NILE20712	KC003A59I:KC003A59K:(1453.302,0)-(1458.478,0)	"1.0"	"1.0"
Event	cluster-NILV20707	Contact.PublicStatementInPerson.Broadcast_Communicator	cluster-NILE20708	KC003A59I:KC003A59K:(1398.099,0)-(1418.792,0)	"1.0"	"1.0"
Event	cluster-NILV20707	Contact.PublicStatementInPerson.Broadcast_Communicator	cluster-NILE20708	KC003A59I:KC003A59K:(1453.302,0)-(1458.478,0)	"1.0"	"1.0"
Event	cluster-NILV20707	Contact.PublicStatementInPerson.Broadcast_Recipient	cluster-NILE20712	KC003A59I:KC003A59K:(1398.099,0)-(1418.792,0)	"1.0"	"1.0"
Event	cluster-NILV20707	Contact.PublicStatementInPerson.Broadcast_Recipient	cluster-NILE20712	KC003A59I:KC003A59K:(1453.302,0)-(1458.478,0)	"1.0"	"1.0"
