?docid	?edge_type	?is_assertion_negated	?object_cluster	?objectmo	?objectmo_metatype	?is_objectmo_negated	?oinf_j_span	?object_type	?subject_cluster	?subjectmo	?subjectmo_metatype	?is_subjectmo_negated	?sinf_j_span	?subject_type	?ej_span	?objectc_handle	?edge_cj_cv	?oinf_j_cv	?obcm_cv	?sinf_j_cv	?sbcm_cv
L0C0496PB	A0	NotNegated	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000143>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000143-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Entity>	NotNegated	L0C0496PB:L0C049DUI:(0,0)-(0,0)	Q215627	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCRML0C0496PB.000350>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCRML0C0496PB.000350-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Relation>	NotNegated	NULL	Q621695	L0C0496PB:L0C049DUI:(0,0)-(0,0)	the world’s population	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C0496PB	A2_gol_recipient_hearer	NotNegated	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000133>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000133-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Entity>	NotNegated	L0C0496PB:L0C049DUI:(0,0)-(0,0)	Q215627	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCVML0C0496PB.000158>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCVML0C0496PB.000158-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Event>	NotNegated	NULL	Q567303	L0C0496PB:L0C049DUI:(0,0)-(0,0)	followers on Twitter	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C0496PB	AM_mnr__manner	NotNegated	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000138>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000138-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Entity>	NotNegated	L0C0496PB:L0C049DUI:(0,0)-(0,0)	Q15621286	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCVML0C0496PB.000158>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCVML0C0496PB.000158-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Event>	NotNegated	NULL	Q567303	L0C0496PB:L0C049DUI:(0,0)-(0,0)	Twitter	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C0496PB	A0_pag_agent_announcer	NotNegated	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000113>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000113-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Entity>	NotNegated	L0C0496PB:L0C049DUI:(0,0)-(0,0)	Q107711	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCVML0C0496PB.000158>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCVML0C0496PB.000158-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Event>	NotNegated	NULL	Q567303	L0C0496PB:L0C049DUI:(0,0)-(0,0)	Piers Corbyn	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C0496PB	A1_ppt_result_thing_created	NotNegated	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000128>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000128-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Entity>	NotNegated	L0C0496PB:L0C049DUI:(0,0)-(0,0)	EMPTY_TBD	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCVML0C0496PB.000186>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCVML0C0496PB.000186-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Event>	NotNegated	NULL	Q11398090	L0C0496PB:L0C049DUI:(0,0)-(0,0)	Coronavirus	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C0496PB	A0_pag_agent_creator	NotNegated	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000118>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000118-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Entity>	NotNegated	L0C0496PB:L0C049DUI:(0,0)-(0,0)	Q107711	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCVML0C0496PB.000186>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCVML0C0496PB.000186-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Event>	NotNegated	NULL	Q11398090	L0C0496PB:L0C049DUI:(0,0)-(0,0)	Bill Gates	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C0496PB	A0_pag_agent_creator	NotNegated	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000153>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000153-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Entity>	NotNegated	L0C0496PB:L0C049DUI:(0,0)-(0,0)	Q215627	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCVML0C0496PB.000186>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCVML0C0496PB.000186-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Event>	NotNegated	NULL	Q11398090	L0C0496PB:L0C049DUI:(0,0)-(0,0)	Cronies of Gates and Soros	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C0496PB	A0_pag_agent_creator	NotNegated	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000123>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000123-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Entity>	NotNegated	L0C0496PB:L0C049DUI:(0,0)-(0,0)	Q107711	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCVML0C0496PB.000186>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCVML0C0496PB.000186-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Event>	NotNegated	NULL	Q11398090	L0C0496PB:L0C049DUI:(0,0)-(0,0)	George Soros	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C0496PB	A1_ppt_result_thing_created	NotNegated	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000148>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000148-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Entity>	NotNegated	L0C0496PB:L0C049DUI:(0,0)-(0,0)	Q134808	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCVML0C0496PB.000214>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCVML0C0496PB.000214-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Event>	NotNegated	NULL	Q11398090	L0C0496PB:L0C049DUI:(0,0)-(0,0)	covid vaccine	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C0496PB	A2_vsp_material_materials_used	NotNegated	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000238>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCEML0C0496PB.000238-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Entity>	NotNegated	L0C0496PB:L0C049DUI:(0,0)-(0,0)	Q728	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCVML0C0496PB.000214>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILCVML0C0496PB.000214-prototype>	<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/InterchangeOntology#Event>	NotNegated	NULL	Q11398090	L0C0496PB:L0C049DUI:(0,0)-(0,0)	poison	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
