metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE21465	cluster-NILE21465	8
Entity	cluster-NILE21466	cluster-NILE21466	1
Entity	cluster-NILE21467	cluster-NILE21467	1
Entity	cluster-NILE21468	cluster-NILE21468	1
Entity	cluster-NILE21469	cluster-NILE21469	4
Entity	cluster-NILE21470	cluster-NILE21470	1
Entity	cluster-NILE21471	cluster-NILE21471	1
Entity	cluster-NILE21472	cluster-NILE21472	1
Entity	cluster-NILE21473	cluster-NILE21473	1
Entity	cluster-NILE21474	cluster-NILE21474	1
Entity	cluster-NILE21475	cluster-NILE21475	1
Entity	cluster-NILE21476	cluster-NILE21476	1
Entity	cluster-NILE21477	cluster-NILE21477	1
Entity	cluster-NILE21478	cluster-NILE21478	1
Entity	cluster-NILE21479	cluster-NILE21479	1
Entity	cluster-NILE21480	cluster-NILE21480	1
Entity	cluster-NILE21481	cluster-NILE21481	1
Entity	cluster-NILE21482	cluster-NILE21482	4
Entity	cluster-NILE21483	cluster-NILE21483	4
Entity	cluster-NILE21484	cluster-NILE21484	1
Entity	cluster-NILE21485	cluster-NILE21485	1
Entity	cluster-NILE21486	cluster-NILE21486	1
Entity	cluster-NILE21487	cluster-NILE21487	1
Entity	cluster-NILE21488	cluster-NILE21488	1
Entity	cluster-NILE21489	cluster-NILE21489	1
Entity	cluster-NILE21490	cluster-NILE21490	1
Entity	cluster-NILE21491	cluster-NILE21491	3
Entity	cluster-NILE21492	cluster-NILE21492	3
Entity	cluster-NILE21493	cluster-NILE21493	3
Entity	cluster-NILE21494	cluster-NILE21494	3
Entity	cluster-NILE21495	cluster-NILE21495	33
Entity	cluster-NILE21496	cluster-NILE21496	4
Entity	cluster-NILE21497	cluster-NILE21497	40
Entity	cluster-NILE21498	cluster-NILE21498	18
Relation	cluster-NILR21486	cluster-NILR21486	1
Event	cluster-NILV21465	cluster-NILV21465	1
Event	cluster-NILV21466	cluster-NILV21466	1
Event	cluster-NILV21467	cluster-NILV21467	1
Event	cluster-NILV21468	cluster-NILV21468	1
Event	cluster-NILV21469	cluster-NILV21469	1
Event	cluster-NILV21470	cluster-NILV21470	1
Event	cluster-NILV21471	cluster-NILV21471	1
Event	cluster-NILV21472	cluster-NILV21472	1
