AnnotIndexID	Type	Output Value for Type	Subtype	Output Value for Subtype	Sub-Subtype	Output Value for Sub-Subtype	Definition	Template	arg1 label	Output value for arg1	arg1 type constraints	arg2 label	Output value for arg2	arg2 type	OWGIndexID	Relation Type	Relation Label	Argument 1 Types	Argument 2 Types
LDC_rel_002	Evaluate	evaluate	Deliberateness	deliberateness	Accidental	accidental	"The evaluation by a person, organization, or GPE (or the author) that an event is accidental"	<arg1> holds that <arg2> is accidental	Holder	rel002arg01holder	"per, org, gpe, sid, author_check"	Event	rel002arg02event	event	OWG_rel_005	Evaluation	EVAL	"PER, GPE, ORG"	"INFO, String"
LDC_rel_003	Evaluate	evaluate	Deliberateness	deliberateness	Deliberate	deliberate	"The evaluation by a person, organization, or GPE (or the author) that an event is deliberate"	<arg1> holds that <arg2> is deliberate	Holder	rel003arg01holder	"per, org, gpe, sid, author_check"	Event	rel003arg02event	event	OWG_rel_005	Evaluation	EVAL	"PER, GPE, ORG"	"INFO, String"
LDC_rel_005	Evaluate	evaluate	Legitimacy	legitimacy	Illegitimate	illegitimate	"The evaluation by a person, organization, or GPE (or the author) that a political event is illegitimate"	<arg1> holds that <arg2> is illegitimate	Holder	rel005arg01holder	"per, org, gpe, sid, author_check"	Event	rel005arg02event	event	OWG_rel_005	Evaluation	EVAL	"PER, GPE, ORG"	"INFO, String"
LDC_rel_006	Evaluate	evaluate	Legitimacy	legitimacy	Legitimate	legitimate	"The evaluation by a person, organization, or GPE (or the author) that a political event is legitimate"	<arg1> holds that <arg2> is legitimate	Holder	rel006arg01holder	"per, org, gpe, sid, author_check"	Event	rel006arg02event	event	OWG_rel_005	Evaluation	EVAL	"PER, GPE, ORG"	"INFO, String"
LDC_rel_008	Evaluate	evaluate	Sentiment	sentiment	Negative	negative	"Negative sentiment held by a person, organization, or GPE toward any knowledge element"	<arg1> holds negative sentiment towards <arg2>	Holder	rel008arg01holder	"per, org, gpe, sid, author_check"	SentimentTarget	rel008arg02sentimenttarget	"event, per, org, gpe, sid, loc, fac, bal, res, crm, law, mon"	OWG_rel_005	Evaluation	EVAL	"PER, GPE, ORG"	"INFO, String"
LDC_rel_009	Evaluate	evaluate	Sentiment	sentiment	Positive	positive	"Positive sentiment held by a person, organization, or GPE toward any knowledge element"	<arg1> holds positive sentiment towards <arg2>	Holder	rel009arg01holder	"per, org, gpe, sid, author_check"	SentimentTarget	rel009arg02sentimenttarget	"event, per, org, gpe, sid, loc, fac, bal, res, crm, law, mon"	OWG_rel_005	Evaluation	EVAL	"PER, GPE, ORG"	"INFO, String"
LDC_rel_010	GeneralAffiliation	generalaffiliation	ArtifactPoliticalOrganizationReligiousAffiliation	artifactpoliticalorganizationreligiousaffiliation	n/a	unspecified	"The affiliation between an artifact (including vehicles, weapons, commodities, etc.) and another entity.  Artifact-Political-Organization-Religious-Affiliation (APORA)."	<arg1> is affiliated with <arg2>	Artifact	rel010arg01artifact	"bal, com, fac, mon, veh, wea"	EntityOrFiller	rel010arg02entityorfiller	"per, org, gpe, sid, loc"	not present	not present	not present	not present	not present
LDC_rel_011	GeneralAffiliation	generalaffiliation	ArtifactPoliticalOrganizationReligiousAffiliation	artifactpoliticalorganizationreligiousaffiliation	ControlTerritory	controlterritory	"A side, person, organization, location, or GPE controlling territory.  "	<arg1> is controlled by <arg2>	Territory	rel011arg01territory	"gpe, loc, fac"	Controller	rel011arg02controller	"per, org, gpe, sid, loc"	not present	not present	not present	not present	not present
LDC_rel_012	GeneralAffiliation	generalaffiliation	ArtifactPoliticalOrganizationReligiousAffiliation	artifactpoliticalorganizationreligiousaffiliation	NationalityCitizen	nationalitycitizen	"The affiliation between an artifact (including vehicles, weapons, commodities, etc.) and a GPE.  Artifact-Political-Organization-Religious-Affiliation (APORA)."	<arg1> is affiliated with <arg2> GPE	Artifact	rel012arg01artifact	"bal, com, fac, mon, veh, wea"	Nationality	rel012arg02nationality	gpe	OWG_rel_001	Nationality	NATL	"PER, ORG"	GPE
LDC_rel_013	GeneralAffiliation	generalaffiliation	ArtifactPoliticalOrganizationReligiousAffiliation	artifactpoliticalorganizationreligiousaffiliation	OwnershipPossession	ownershippossession	"The ownership or possession of an artifact (including vehicles, weapons, commodities, etc.) by a person, group, or side.  Artifact-Political-Organization-Religious-Affiliation (APORA)."	<arg1> is owned by <arg2>	Artifact	rel013arg01artifact	"bal, com, fac, mon, veh, wea"	Owner	rel013arg02owner	"per, org, gpe, sid, loc"	not present	not present	not present	not present	not present
LDC_rel_014	GeneralAffiliation	generalaffiliation	MemberOriginReligionEthnicity	memberoriginreligionethnicity	n/a	unspecified	The affiliation between a person entity and another entity.  Member-Origin-Religion-Ethnicity (MORE)	<arg1> is affiliated with <arg2>	Person	rel014arg01person	per	EntityOrFiller	rel014arg02entityorfiller	"per, gpe, loc, sid"	not present	not present	not present	not present	not present
LDC_rel_015	GeneralAffiliation	generalaffiliation	MemberOriginReligionEthnicity	memberoriginreligionethnicity	Ethnicity	ethnicity	The affiliation between a person entity and an ethnicity.  Member-Origin-Religion-Ethnicity (MORE)	<arg1> has <arg2> ethnicity	Person	rel015arg01person	per	Ethnicity	rel015arg02ethnicity	"per, gpe, loc, sid"	not present	not present	not present	not present	not present
LDC_rel_016	GeneralAffiliation	generalaffiliation	MemberOriginReligionEthnicity	memberoriginreligionethnicity	NationalityCitizen	nationalitycitizen	The affiliation between a person entity and a GPE.  Member-Origin-Religion-Ethnicity (MORE)	<arg1> is affiliated with <arg2> GPE	Citizen	rel016arg01citizen	per	Nationality	rel016arg02nationality	gpe	OWG_rel_001	Nationality	NATL	"PER, ORG"	GPE
