metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE30025	cluster-NILQE31510	4.0
Entity	cluster-NILE30031	cluster-NILQE31561	3.0
Entity	cluster-NILE30028	cluster-NILQE31593	6.0
Entity	cluster-NILE30029	cluster-NILQE31662	6.0
Entity	cluster-NILE30046	cluster-NILQE31711	4.0
Entity	cluster-NILE30033	cluster-NILQE31834	10.0
Entity	cluster-NILE30034	cluster-NILQE31917	2.0
Entity	cluster-NILE30035	cluster-NILQE31942	2.0
Entity	cluster-NILE30036	cluster-NILQE31968	2.0
Entity	cluster-NILE30040	cluster-NILQE32033	1.0
Entity	cluster-NILE30038	cluster-NILQE32081	2.0
Entity	cluster-NILE30055	cluster-NILQE32114	1.0
Entity	cluster-NILE30052	cluster-NILQE32126	2.0
Entity	cluster-NILE30050	cluster-NILQE32153	2.0
Entity	cluster-NILE30051	cluster-NILQE32186	1.0
Entity	cluster-NILE30045	cluster-NILQE32202	1.0
Entity	cluster-NILE30043	cluster-NILQE32243	4.0
Entity	cluster-NILE30037	cluster-NILQE32347	4.0
Entity	cluster-NILE30054	cluster-NILQE32416	1.0
Entity	cluster-NILE30049	cluster-NILQE32430	1.0
Entity	cluster-NILE30030	cluster-NILQE32448	1.0
Entity	cluster-NILE30041	cluster-NILQE32465	1.0
Entity	cluster-NILE30042	cluster-NILQE32485	1.0
Relation	cluster-NILR30012	cluster-NILQR30582	0.5662340685
Event	cluster-NILV30025	cluster-NILQV31191	1.0
Event	cluster-NILV30026	cluster-NILQV31192	1.0
Event	cluster-NILV30027	cluster-NILQV31193	1.0
Event	cluster-NILV30028	cluster-NILQV31194	1.0
Event	cluster-NILV30029	cluster-NILQV31195	1.0
Event	cluster-NILV30030	cluster-NILQV31196	0.73665378565
Event	cluster-NILV30032	cluster-NILQV31198	1.0
Event	cluster-NILV30033	cluster-NILQV31199	1.0
Event	cluster-NILV30034	cluster-NILQV31200	1.0
Entity	cluster-Q1006223	cluster-Q1006223	2.0
Entity	cluster-Q183	cluster-Q183	1.0
Entity	cluster-Q824	cluster-Q824	1.0
Entity	cluster-Q861888	cluster-Q861888	1.0
Entity	cluster-Q91391319	cluster-Q91391319	2.0
Entity	None	cluster-NILQE31742	0
Entity	None	cluster-NILQE31788	0
Entity	None	cluster-NILQE31804	0
Entity	None	cluster-NILQE31992	0
Entity	None	cluster-NILQE32223	0
Entity	None	cluster-NILQE32503	0
Entity	None	cluster-NILQE32524	0
Event	None	cluster-NILQV31190	0
Event	None	cluster-NILQV31197	0
Entity	None	cluster-Q2840	0
Entity	cluster-NILE30026	None	0
Entity	cluster-NILE30027	None	0
Entity	cluster-NILE30032	None	0
Entity	cluster-NILE30039	None	0
Entity	cluster-NILE30044	None	0
Entity	cluster-NILE30047	None	0
Entity	cluster-NILE30048	None	0
Entity	cluster-NILE30053	None	0
Relation	cluster-NILR30013	None	0
Relation	cluster-NILR30014	None	0
Event	cluster-NILV30021	None	0
Event	cluster-NILV30022	None	0
Event	cluster-NILV30023	None	0
Event	cluster-NILV30024	None	0
Event	cluster-NILV30031	None	0
