metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE22100	cluster-NILE22100	3
Entity	cluster-NILE22101	cluster-NILE22101	4
Entity	cluster-NILE22102	cluster-NILE22102	3
Entity	cluster-NILE22103	cluster-NILE22103	1
Entity	cluster-NILE22104	cluster-NILE22104	1
Entity	cluster-NILE22105	cluster-NILE22105	3
Entity	cluster-NILE22106	cluster-NILE22106	1
Entity	cluster-NILE22107	cluster-NILE22107	2
Entity	cluster-NILE22108	cluster-NILE22108	1
Entity	cluster-NILE22109	cluster-NILE22109	1
Entity	cluster-NILE22110	cluster-NILE22110	2
Entity	cluster-NILE22111	cluster-NILE22111	2
Entity	cluster-NILE22112	cluster-NILE22112	1
Entity	cluster-NILE22113	cluster-NILE22113	1
Entity	cluster-NILE22114	cluster-NILE22114	9
Entity	cluster-NILE22115	cluster-NILE22115	6
Entity	cluster-NILE22116	cluster-NILE22116	1
Entity	cluster-NILE22118	cluster-NILE22118	7
Entity	cluster-NILE22119	cluster-NILE22119	1
Entity	cluster-NILE22120	cluster-NILE22120	1
Entity	cluster-NILE22121	cluster-NILE22121	2
Entity	cluster-NILE22122	cluster-NILE22122	1
Entity	cluster-NILE22123	cluster-NILE22123	2
Entity	cluster-NILE22124	cluster-NILE22124	1
Entity	cluster-NILE22125	cluster-NILE22125	1
Relation	cluster-NILR22100	cluster-NILR22100	1
Relation	cluster-NILR22101	cluster-NILR22101	1
Relation	cluster-NILR22102	cluster-NILR22102	1
Relation	cluster-NILR22103	cluster-NILR22103	1
Relation	cluster-NILR22104	cluster-NILR22104	1
Relation	cluster-NILR22105	cluster-NILR22105	1
Relation	cluster-NILR22106	cluster-NILR22106	1
Relation	cluster-NILR22107	cluster-NILR22107	1
Relation	cluster-NILR22108	cluster-NILR22108	1
Relation	cluster-NILR22109	cluster-NILR22109	1
Relation	cluster-NILR22110	cluster-NILR22110	1
Relation	cluster-NILR22111	cluster-NILR22111	1
Relation	cluster-NILR22112	cluster-NILR22112	1
Event	cluster-NILV22100	cluster-NILV22100	5
Event	cluster-NILV22102	cluster-NILV22102	2
Event	cluster-NILV22104	cluster-NILV22104	1
Event	cluster-NILV22105	cluster-NILV22105	1
Event	cluster-NILV22106	cluster-NILV22106	1
Event	cluster-NILV22107	cluster-NILV22107	1
Event	cluster-NILV22108	cluster-NILV22108	1
