metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE21960	cluster-NILE21960	2
Entity	cluster-NILE21961	cluster-NILE21961	1
Entity	cluster-NILE21962	cluster-NILE21962	1
Entity	cluster-NILE21963	cluster-NILE21963	2
Entity	cluster-NILE21964	cluster-NILE21964	2
Entity	cluster-NILE21965	cluster-NILE21965	3
Entity	cluster-NILE21966	cluster-NILE21966	4
Entity	cluster-NILE21967	cluster-NILE21967	1
Entity	cluster-NILE21968	cluster-NILE21968	1
Entity	cluster-NILE21969	cluster-NILE21969	1
Entity	cluster-NILE21970	cluster-NILE21970	1
Entity	cluster-NILE21971	cluster-NILE21971	1
Entity	cluster-NILE21972	cluster-NILE21972	3
Entity	cluster-NILE21973	cluster-NILE21973	2
Entity	cluster-NILE21974	cluster-NILE21974	1
Entity	cluster-NILE21975	cluster-NILE21975	2
Entity	cluster-NILE21977	cluster-NILE21977	1
Entity	cluster-NILE21978	cluster-NILE21978	1
Relation	cluster-NILR21960	cluster-NILR21960	1
Relation	cluster-NILR21962	cluster-NILR21962	1
Relation	cluster-NILR21964	cluster-NILR21964	1
Relation	cluster-NILR21965	cluster-NILR21965	1
Relation	cluster-NILR21966	cluster-NILR21966	1
Event	cluster-NILV21960	cluster-NILV21960	1
Event	cluster-NILV21961	cluster-NILV21961	2
Event	cluster-NILV21962	cluster-NILV21962	1
Event	cluster-NILV21964	cluster-NILV21964	1
Event	cluster-NILV21965	cluster-NILV21965	2
