metatype	system_cluster	gold_cluster	system_mention	gold_mention	similarity
Entity	cluster-NILQE30927	cluster-NILQE30927	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Entity	cluster-NILQE30928	cluster-NILQE30928	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Entity	cluster-NILQE30929	cluster-NILQE30929	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Entity	cluster-NILQE30930	cluster-NILQE30930	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Entity	cluster-NILQE30931	cluster-NILQE30931	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Entity	cluster-NILQE30932	cluster-NILQE30932	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Entity	cluster-NILQE30933	cluster-NILQE30933	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Entity	cluster-NILQE30934	cluster-NILQE30934	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Entity	cluster-NILQE30935	cluster-NILQE30935	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Entity	cluster-NILQE30936	cluster-NILQE30936	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Relation	cluster-NILQR30313	cluster-NILQR30313	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Relation	cluster-NILQR30314	cluster-NILQR30314	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Relation	cluster-NILQR30315	cluster-NILQR30315	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Relation	cluster-NILQR30316	cluster-NILQR30316	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Relation	cluster-NILQR30317	cluster-NILQR30317	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Relation	cluster-NILQR30318	cluster-NILQR30318	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Relation	cluster-NILQR30319	cluster-NILQR30319	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Event	cluster-NILQV30878	cluster-NILQV30878	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Event	cluster-NILQV30879	cluster-NILQV30879	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Event	cluster-NILQV30880	cluster-NILQV30880	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Event	cluster-NILQV30881	cluster-NILQV30881	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Event	cluster-NILQV30882	cluster-NILQV30882	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Event	cluster-NILQV30883	cluster-NILQV30883	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Event	cluster-NILQV30884	cluster-NILQV30884	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Event	cluster-NILQV30885	cluster-NILQV30885	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Event	cluster-NILQV30886	cluster-NILQV30886	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Entity	cluster-Q3065012	cluster-Q3065012	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Entity	cluster-Q84426668	cluster-Q84426668	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
Entity	cluster-Q939416	cluster-Q939416	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	L0C04CTDS:L0C04CVM8:(1,0)-(1404,0)	1.0
