?cluster	?metatype	?type	?mention_span	?is_negated	?type_statement_confidence	?cluster_membership_confidence	?mention_type_justification_confidence
cluster-NILE30025	Entity	Q15401930	L0C04960U:L0C049DTH:(1,0)-(9,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30025	Entity	Q15401930	L0C04960U:L0C049DTH:(2419,0)-(2427,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30025	Entity	Q15401930	L0C04960U:L0C049DTH:(250,0)-(258,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30025	Entity	Q15401930	L0C04960U:L0C049DTH:(2630,0)-(2652,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30026	Entity	Q756	L0C04960U:L0C04960Z:(4,49)-(1094,827)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30026	Entity	Q756	L0C04960U:L0C049DTH:(3124,0)-(3129,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30026	Entity	Q756	L0C04960U:L0C049DTH:(3152,0)-(3159,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30027	Entity	EMPTY_TBD	L0C04960U:L0C049DTH:(121,0)-(133,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30027	Entity	EMPTY_TBD	L0C04960U:L0C049DTH:(2058,0)-(2074,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30027	Entity	EMPTY_TBD	L0C04960U:L0C049DTH:(2908,0)-(2920,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30027	Entity	EMPTY_TBD	L0C04960U:L0C049DTH:(371,0)-(382,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30027	Entity	EMPTY_TBD	L0C04960U:L0C049DTH:(45,0)-(63,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30027	Entity	EMPTY_TBD	L0C04960U:L0C049DTH:(477,0)-(489,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30028	Entity	Q15401930	L0C04960U:L0C049DTH:(13,0)-(18,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30028	Entity	Q15401930	L0C04960U:L0C049DTH:(233,0)-(247,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30028	Entity	Q15401930	L0C04960U:L0C049DTH:(2827,0)-(2841,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30028	Entity	Q15401930	L0C04960U:L0C049DTH:(2845,0)-(2920,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30028	Entity	Q15401930	L0C04960U:L0C049DTH:(2863,0)-(2869,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30028	Entity	Q15401930	L0C04960U:L0C049DTH:(2971,0)-(2985,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30029	Entity	Q15401930	L0C04960U:L0C049DTH:(1310,0)-(1317,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30029	Entity	Q15401930	L0C04960U:L0C049DTH:(181,0)-(189,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30029	Entity	Q15401930	L0C04960U:L0C049DTH:(3170,0)-(3188,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30029	Entity	Q15401930	L0C04960U:L0C049DTH:(3322,0)-(3335,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30029	Entity	Q15401930	L0C04960U:L0C049DTH:(3824,0)-(3832,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30029	Entity	Q15401930	L0C04960U:L0C049DTH:(659,0)-(666,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30030	Entity	Q15401930	L0C04960U:L0C049DTH:(193,0)-(215,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30031	Entity	Q15401930	L0C04960U:L0C049DTH:(1525,0)-(1534,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30031	Entity	Q15401930	L0C04960U:L0C049DTH:(262,0)-(270,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30031	Entity	Q15401930	L0C04960U:L0C049DTH:(3428,0)-(3437,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30032	Entity	EMPTY_TBD	L0C04960U:L0C049DTH:(307,0)-(311,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30033	Entity	Q15401930	L0C04960U:L0C049DTH:(1097,0)-(1117,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30033	Entity	Q15401930	L0C04960U:L0C049DTH:(1224,0)-(1236,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30033	Entity	Q15401930	L0C04960U:L0C049DTH:(1350,0)-(1352,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30033	Entity	Q15401930	L0C04960U:L0C049DTH:(2390,0)-(2404,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30033	Entity	Q15401930	L0C04960U:L0C049DTH:(3192,0)-(3205,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30033	Entity	Q15401930	L0C04960U:L0C049DTH:(3339,0)-(3359,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30033	Entity	Q15401930	L0C04960U:L0C049DTH:(3836,0)-(3849,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30033	Entity	Q15401930	L0C04960U:L0C049DTH:(683,0)-(705,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30033	Entity	Q15401930	L0C04960U:L0C049DTH:(740,0)-(741,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30033	Entity	Q15401930	L0C04960U:L0C049DTH:(788,0)-(790,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30034	Entity	Q15401930	L0C04960U:L0C049DTH:(1271,0)-(1274,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30034	Entity	Q15401930	L0C04960U:L0C049DTH:(718,0)-(721,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30035	Entity	Q15401930	L0C04960U:L0C049DTH:(1258,0)-(1263,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30035	Entity	Q15401930	L0C04960U:L0C049DTH:(724,0)-(729,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30036	Entity	Q15401930	L0C04960U:L0C049DTH:(1277,0)-(1281,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30036	Entity	Q15401930	L0C04960U:L0C049DTH:(733,0)-(737,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30037	Entity	EMPTY_TBD	L0C04960U:L0C049DTH:(1547,0)-(1552,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30037	Entity	EMPTY_TBD	L0C04960U:L0C049DTH:(1818,0)-(1824,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30037	Entity	EMPTY_TBD	L0C04960U:L0C049DTH:(871,0)-(876,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30037	Entity	Q2826767	L0C04960U:L0C049DTH:(2211,0)-(2216,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30038	Entity	Q215627	L0C04960U:L0C049DTH:(903,0)-(945,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30038	Entity	Q215627	L0C04960U:L0C049DTH:(910,0)-(916,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30039	Entity	EMPTY_TBD	L0C04960U:L0C049DTH:(2564,0)-(2571,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30039	Entity	EMPTY_TBD	L0C04960U:L0C049DTH:(992,0)-(1007,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30040	Entity	Q15401930	L0C04960U:L0C049DTH:(1266,0)-(1268,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30041	Entity	Q15401930	L0C04960U:L0C049DTH:(1292,0)-(1306,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30042	Entity	Q15401930	L0C04960U:L0C049DTH:(1328,0)-(1347,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30043	Entity	Q2826767	L0C04960U:L0C049DTH:(1655,0)-(1680,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30043	Entity	Q2826767	L0C04960U:L0C049DTH:(1748,0)-(1750,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30043	Entity	Q2826767	L0C04960U:L0C049DTH:(2168,0)-(2200,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30043	Entity	Q2826767	L0C04960U:L0C049DTH:(2275,0)-(2293,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30044	Entity	EMPTY_TBD	L0C04960U:L0C049DTH:(1828,0)-(1836,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30044	Entity	EMPTY_TBD	L0C04960U:L0C049DTH:(2012,0)-(2019,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30045	Entity	Q215627	L0C04960U:L0C049DTH:(2588,0)-(2607,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30046	Entity	Q901	L0C04960U:L0C049DTH:(2666,0)-(2679,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30046	Entity	Q901	L0C04960U:L0C049DTH:(2765,0)-(2767,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30046	Entity	Q901	L0C04960U:L0C049DTH:(3076,0)-(3078,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30046	Entity	Q901	L0C04960U:L0C049DTH:(3226,0)-(3239,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30047	Entity	EMPTY_TBD	L0C04960U:L0C049DTH:(3007,0)-(3014,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30048	Entity	EMPTY_TBD	L0C04960U:L0C049DTH:(3025,0)-(3060,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30049	Entity	Q15401930	L0C04960U:L0C049DTH:(3090,0)-(3097,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30050	Entity	Q215627	L0C04960U:L0C049DTH:(2749,0)-(2756,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30050	Entity	Q215627	L0C04960U:L0C049DTH:(3290,0)-(3294,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30051	Entity	Q215627	L0C04960U:L0C049DTH:(3788,0)-(3793,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30052	Entity	Q215627	L0C04960U:L0C049DTH:(3854,0)-(3866,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30052	Entity	Q215627	L0C04960U:L0C049DTH:(3906,0)-(3908,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30053	Entity	EMPTY_TBD	L0C04960U:L0C049DTH:(3055,0)-(3060,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30054	Entity	Q15401930	L0C04960U:L0C049DTH:(3082,0)-(3084,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30055	Entity	Q901	L0C04960U:L0C049DTH:(3208,0)-(3219,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILR30012	Relation	P1416	L0C04960U:L0C049DTH:(1194,0)-(1195,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILR30013	Relation	P1416	L0C04960U:L0C049DTH:(1210,0)-(1221,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILR30014	Relation	P17	L0C04960U:L0C049DTH:(3494,0)-(3502,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILV30021	Event	Q23841	L0C04960U:L0C049DTH:(348,0)-(352,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILV30021	Event	Q23841	L0C04960U:L0C049DTH:(554,0)-(558,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILV30022	Event	Q815758	L0C04960U:L0C049DTH:(1516,0)-(1523,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILV30022	Event	Q815758	L0C04960U:L0C049DTH:(3412,0)-(3426,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILV30023	Event	Q17781833	L0C04960U:L0C049DTH:(34,0)-(41,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILV30024	Event	Q17781833	L0C04960U:L0C049DTH:(110,0)-(117,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILV30025	Event	Q179661	L0C04960U:L0C049DTH:(272,0)-(286,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILV30026	Event	Q166231	L0C04960U:L0C049DTH:(467,0)-(475,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILV30027	Event	Q1717246	L0C04960U:L0C049DTH:(453,0)-(465,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILV30028	Event	Q17781833	L0C04960U:L0C049DTH:(2001,0)-(2010,0)	NotNegated	"1.0"	"1.0"	"1.0"
