claim_id	component_type	id	fieldname	value	correctness
CLL0C0496PB.000082	claimTopic	1	value	Origin of the Virus	--
CLL0C0496PB.000082	claimSubtopic	1	value	Who/what was the target of the virus	--
CLL0C0496PB.000082	claimDescription	1	value	Piers Corbyn tweets aim of the Gates/Soros/Cronos created virus is to cull the world's population	--
CLL0C0496PB.000082	claimTemplate	1	value	X was the target of the virus	NIL
CLL0C0496PB.000082	claimDocument	1	value	L0C0496PB	--
CLL0C0496PB.000082	claimEpistemic	1	polarity	EpistemicTrueCertain	NIL
CLL0C0496PB.000082	claimEpistemic	1	strength	EpistemicTrueCertain	NIL
CLL0C0496PB.000082	claimSentiment	1	value	SentimentNeutralUnknown	NIL
CLL0C0496PB.000082	date	1	range	(16-03-2020,16-03-2020)-(16-03-2020,16-03-2020)	NIL
CLL0C0496PB.000082	claimMedium	1	name	Twitter	NIL
CLL0C0496PB.000082	claimMedium	1	qnode_id	Q918	NIL
CLL0C0496PB.000082	claimMedium	1	qnode_type	Q3220391	NIL
CLL0C0496PB.000082	claimMedium	1	informativenessAssessment	value	NIL
CLL0C0496PB.000082	claimMedium	1	overallAssessment	value	NIL
CLL0C0496PB.000082	claimer	1	name	Piers Corbyn	NIL
CLL0C0496PB.000082	claimer	1	qnode_id	Q1992717	NIL
CLL0C0496PB.000082	claimer	1	qnode_type	Q2310145	NIL
CLL0C0496PB.000082	claimer	1	informativenessAssessment	value	NIL
CLL0C0496PB.000082	claimer	1	overallAssessment	value	NIL
CLL0C0496PB.000082	xVariable	1	name	the world’s population	NIL
CLL0C0496PB.000082	xVariable	1	qnode_id	EMPTY_TBD	NIL
CLL0C0496PB.000082	xVariable	1	qnode_type	Q11188	NIL
CLL0C0496PB.000082	xVariable	1	informativenessAssessment	value	NIL
CLL0C0496PB.000082	xVariable	1	overallAssessment	value	NIL
