metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE20915	cluster-NILE20915	3
Entity	cluster-NILE20916	cluster-NILE20916	2
Entity	cluster-NILE20917	cluster-NILE20917	3
Entity	cluster-NILE20918	cluster-NILE20918	1
Entity	cluster-NILE20919	cluster-NILE20919	1
Entity	cluster-NILE20920	cluster-NILE20920	1
Entity	cluster-NILE20921	cluster-NILE20921	1
Entity	cluster-NILE20922	cluster-NILE20922	1
Entity	cluster-NILE20923	cluster-NILE20923	2
Entity	cluster-NILE20924	cluster-NILE20924	1
Entity	cluster-NILE20925	cluster-NILE20925	5
Entity	cluster-NILE20926	cluster-NILE20926	1
Entity	cluster-NILE20927	cluster-NILE20927	1
Entity	cluster-NILE20928	cluster-NILE20928	16
Entity	cluster-NILE20929	cluster-NILE20929	1
Entity	cluster-NILE20930	cluster-NILE20930	1
Entity	cluster-NILE20931	cluster-NILE20931	1
Entity	cluster-NILE20932	cluster-NILE20932	1
Entity	cluster-NILE20933	cluster-NILE20933	1
Entity	cluster-NILE20934	cluster-NILE20934	1
Entity	cluster-NILE20935	cluster-NILE20935	1
Entity	cluster-NILE20936	cluster-NILE20936	1
Entity	cluster-NILE20937	cluster-NILE20937	7
Entity	cluster-NILE20938	cluster-NILE20938	3
Entity	cluster-NILE20939	cluster-NILE20939	1
Entity	cluster-NILE20940	cluster-NILE20940	1
Entity	cluster-NILE20941	cluster-NILE20941	2
Entity	cluster-NILE20942	cluster-NILE20942	2
Entity	cluster-NILE20943	cluster-NILE20943	1
Entity	cluster-NILE20944	cluster-NILE20944	1
Entity	cluster-NILE20945	cluster-NILE20945	1
Entity	cluster-NILE20946	cluster-NILE20946	4
Entity	cluster-NILE20947	cluster-NILE20947	4
Entity	cluster-NILE20948	cluster-NILE20948	1
Entity	cluster-NILE20949	cluster-NILE20949	6
Entity	cluster-NILE20950	cluster-NILE20950	1
Entity	cluster-NILE20951	cluster-NILE20951	1
Entity	cluster-NILE20952	cluster-NILE20952	4
Entity	cluster-NILE20953	cluster-NILE20953	1
Entity	cluster-NILE20954	cluster-NILE20954	1
Entity	cluster-NILE20955	cluster-NILE20955	1
Entity	cluster-NILE20956	cluster-NILE20956	1
Entity	cluster-NILE20957	cluster-NILE20957	1
Entity	cluster-NILE20958	cluster-NILE20958	1
Entity	cluster-NILE20959	cluster-NILE20959	1
Entity	cluster-NILE20960	cluster-NILE20960	1
Entity	cluster-NILE20961	cluster-NILE20961	1
Entity	cluster-NILE20962	cluster-NILE20962	1
Entity	cluster-NILE20963	cluster-NILE20963	1
Entity	cluster-NILE20964	cluster-NILE20964	1
Entity	cluster-NILE20965	cluster-NILE20965	2
Entity	cluster-NILE20966	cluster-NILE20966	1
Entity	cluster-NILE20967	cluster-NILE20967	1
Entity	cluster-NILE20968	cluster-NILE20968	1
Entity	cluster-NILE20969	cluster-NILE20969	1
Entity	cluster-NILE20970	cluster-NILE20970	1
Entity	cluster-NILE20971	cluster-NILE20971	1
Entity	cluster-NILE20972	cluster-NILE20972	1
Entity	cluster-NILE20973	cluster-NILE20973	1
Entity	cluster-NILE20974	cluster-NILE20974	1
Entity	cluster-NILE20975	cluster-NILE20975	1
Entity	cluster-NILE20976	cluster-NILE20976	1
Entity	cluster-NILE20977	cluster-NILE20977	1
Entity	cluster-NILE20978	cluster-NILE20978	3
Entity	cluster-NILE20979	cluster-NILE20979	1
Entity	cluster-NILE20980	cluster-NILE20980	1
Entity	cluster-NILE20981	cluster-NILE20981	1
Entity	cluster-NILE20982	cluster-NILE20982	1
Entity	cluster-NILE20983	cluster-NILE20983	1
Entity	cluster-NILE20984	cluster-NILE20984	1
Entity	cluster-NILE20985	cluster-NILE20985	1
Entity	cluster-NILE20986	cluster-NILE20986	1
Entity	cluster-NILE20987	cluster-NILE20987	1
Entity	cluster-NILE20988	cluster-NILE20988	1
Entity	cluster-NILE20989	cluster-NILE20989	1
Entity	cluster-NILE20990	cluster-NILE20990	1
Entity	cluster-NILE20991	cluster-NILE20991	1
Entity	cluster-NILE20992	cluster-NILE20992	1
Entity	cluster-NILE20993	cluster-NILE20993	1
Entity	cluster-NILE20994	cluster-NILE20994	1
Entity	cluster-NILE20995	cluster-NILE20995	1
Relation	cluster-NILR20915	cluster-NILR20915	1
Relation	cluster-NILR20916	cluster-NILR20916	1
Relation	cluster-NILR20917	cluster-NILR20917	1
Relation	cluster-NILR20918	cluster-NILR20918	1
Relation	cluster-NILR20919	cluster-NILR20919	1
Relation	cluster-NILR20920	cluster-NILR20920	1
Relation	cluster-NILR20921	cluster-NILR20921	1
Relation	cluster-NILR20923	cluster-NILR20923	1
Relation	cluster-NILR20924	cluster-NILR20924	1
Relation	cluster-NILR20925	cluster-NILR20925	1
Relation	cluster-NILR20926	cluster-NILR20926	1
Relation	cluster-NILR20927	cluster-NILR20927	1
Relation	cluster-NILR20928	cluster-NILR20928	1
Relation	cluster-NILR20929	cluster-NILR20929	1
Relation	cluster-NILR20930	cluster-NILR20930	1
Relation	cluster-NILR20931	cluster-NILR20931	1
Relation	cluster-NILR20932	cluster-NILR20932	1
Relation	cluster-NILR20933	cluster-NILR20933	1
Relation	cluster-NILR20934	cluster-NILR20934	1
Relation	cluster-NILR20935	cluster-NILR20935	1
Relation	cluster-NILR20936	cluster-NILR20936	1
Relation	cluster-NILR20937	cluster-NILR20937	1
Relation	cluster-NILR20938	cluster-NILR20938	1
Relation	cluster-NILR20939	cluster-NILR20939	1
Event	cluster-NILV20915	cluster-NILV20915	5
Event	cluster-NILV20916	cluster-NILV20916	1
Event	cluster-NILV20917	cluster-NILV20917	1
Event	cluster-NILV20918	cluster-NILV20918	3
Event	cluster-NILV20919	cluster-NILV20919	1
Event	cluster-NILV20920	cluster-NILV20920	1
Event	cluster-NILV20921	cluster-NILV20921	1
Event	cluster-NILV20922	cluster-NILV20922	1
Event	cluster-NILV20923	cluster-NILV20923	1
Event	cluster-NILV20924	cluster-NILV20924	2
Event	cluster-NILV20925	cluster-NILV20925	1
Event	cluster-NILV20926	cluster-NILV20926	1
Event	cluster-NILV20927	cluster-NILV20927	1
Event	cluster-NILV20928	cluster-NILV20928	1
Event	cluster-NILV20929	cluster-NILV20929	1
Event	cluster-NILV20930	cluster-NILV20930	1
Event	cluster-NILV20931	cluster-NILV20931	1
Event	cluster-NILV20932	cluster-NILV20932	1
Event	cluster-NILV20933	cluster-NILV20933	1
Event	cluster-NILV20934	cluster-NILV20934	1
Event	cluster-NILV20935	cluster-NILV20935	4
