metatype	system_cluster	gold_cluster	system_mention	gold_mention	similarity
Entity	cluster-NILQE31237	cluster-NILQE31237	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-NILQE31238	cluster-NILQE31238	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-NILQE31239	cluster-NILQE31239	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-NILQE31240	cluster-NILQE31240	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-NILQE31241	cluster-NILQE31241	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-NILQE31242	cluster-NILQE31242	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-NILQE31243	cluster-NILQE31243	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-NILQE31244	cluster-NILQE31244	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-NILQE31245	cluster-NILQE31245	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-NILQE31246	cluster-NILQE31246	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-NILQE31247	cluster-NILQE31247	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-NILQE31248	cluster-NILQE31248	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-NILQE31249	cluster-NILQE31249	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-NILQE31250	cluster-NILQE31250	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-NILQE31251	cluster-NILQE31251	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Relation	cluster-NILQR30346	cluster-NILQR30346	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Relation	cluster-NILQR30347	cluster-NILQR30347	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Relation	cluster-NILQR30348	cluster-NILQR30348	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Relation	cluster-NILQR30349	cluster-NILQR30349	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Relation	cluster-NILQR30350	cluster-NILQR30350	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Relation	cluster-NILQR30351	cluster-NILQR30351	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Relation	cluster-NILQR30352	cluster-NILQR30352	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30479	cluster-NILQV30479	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30480	cluster-NILQV30480	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30481	cluster-NILQV30481	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30482	cluster-NILQV30482	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30483	cluster-NILQV30483	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30484	cluster-NILQV30484	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30485	cluster-NILQV30485	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30486	cluster-NILQV30486	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30487	cluster-NILQV30487	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30488	cluster-NILQV30488	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30489	cluster-NILQV30489	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30490	cluster-NILQV30490	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30491	cluster-NILQV30491	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30492	cluster-NILQV30492	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30493	cluster-NILQV30493	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30494	cluster-NILQV30494	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30495	cluster-NILQV30495	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30496	cluster-NILQV30496	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30497	cluster-NILQV30497	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Event	cluster-NILQV30498	cluster-NILQV30498	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-Q1470970	cluster-Q1470970	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-Q390551	cluster-Q390551	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-Q62742160	cluster-Q62742160	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-Q6973027	cluster-Q6973027	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-Q712639	cluster-Q712639	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-Q773300	cluster-Q773300	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-Q7914455	cluster-Q7914455	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
Entity	cluster-Q97309777	cluster-Q97309777	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	1.0
