metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE20470	cluster-NILE20470	1
Entity	cluster-NILE20471	cluster-NILE20471	1
Entity	cluster-NILE20472	cluster-NILE20472	1
Entity	cluster-NILE20473	cluster-NILE20473	1
Entity	cluster-NILE20474	cluster-NILE20474	1
Entity	cluster-NILE20475	cluster-NILE20475	2
Entity	cluster-NILE20476	cluster-NILE20476	2
Entity	cluster-NILE20477	cluster-NILE20477	2
Entity	cluster-NILE20478	cluster-NILE20478	4
Entity	cluster-NILE20479	cluster-NILE20479	6
Entity	cluster-NILE20480	cluster-NILE20480	1
Entity	cluster-NILE20481	cluster-NILE20481	1
Entity	cluster-NILE20482	cluster-NILE20482	3
Entity	cluster-NILE20483	cluster-NILE20483	6
Entity	cluster-NILE20484	cluster-NILE20484	1
Entity	cluster-NILE20485	cluster-NILE20485	1
Entity	cluster-NILE20486	cluster-NILE20486	1
Entity	cluster-NILE20487	cluster-NILE20487	1
Entity	cluster-NILE20488	cluster-NILE20488	1
Entity	cluster-NILE20489	cluster-NILE20489	1
Entity	cluster-NILE20490	cluster-NILE20490	3
Entity	cluster-NILE20491	cluster-NILE20491	1
Entity	cluster-NILE20492	cluster-NILE20492	1
Entity	cluster-NILE20493	cluster-NILE20493	7
Entity	cluster-NILE20494	cluster-NILE20494	1
Entity	cluster-NILE20495	cluster-NILE20495	1
Entity	cluster-NILE20496	cluster-NILE20496	2
Entity	cluster-NILE20497	cluster-NILE20497	1
Entity	cluster-NILE20498	cluster-NILE20498	2
Entity	cluster-NILE20499	cluster-NILE20499	1
Entity	cluster-NILE20500	cluster-NILE20500	1
Entity	cluster-NILE20501	cluster-NILE20501	1
Entity	cluster-NILE20502	cluster-NILE20502	1
Entity	cluster-NILE20503	cluster-NILE20503	1
Entity	cluster-NILE20504	cluster-NILE20504	1
Entity	cluster-NILE20505	cluster-NILE20505	1
Entity	cluster-NILE20506	cluster-NILE20506	1
Entity	cluster-NILE20507	cluster-NILE20507	1
Entity	cluster-NILE20508	cluster-NILE20508	1
Entity	cluster-NILE20509	cluster-NILE20509	1
Relation	cluster-NILR20494	cluster-NILR20494	1
Relation	cluster-NILR20495	cluster-NILR20495	1
Relation	cluster-NILR20496	cluster-NILR20496	1
Relation	cluster-NILR20497	cluster-NILR20497	1
Event	cluster-NILV20494	cluster-NILV20494	2
Event	cluster-NILV20495	cluster-NILV20495	2
Event	cluster-NILV20496	cluster-NILV20496	1
Event	cluster-NILV20497	cluster-NILV20497	1
Event	cluster-NILV20499	cluster-NILV20499	3
Event	cluster-NILV20500	cluster-NILV20500	3
Event	cluster-NILV20501	cluster-NILV20501	1
Event	cluster-NILV20502	cluster-NILV20502	2
