metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE20705	cluster-NILE20705	1
Entity	cluster-NILE20706	cluster-NILE20706	5
Entity	cluster-NILE20707	cluster-NILE20707	1
Entity	cluster-NILE20708	cluster-NILE20708	34
Entity	cluster-NILE20709	cluster-NILE20709	13
Entity	cluster-NILE20710	cluster-NILE20710	2
Entity	cluster-NILE20711	cluster-NILE20711	1
Entity	cluster-NILE20712	cluster-NILE20712	10
Entity	cluster-NILE20713	cluster-NILE20713	1
Entity	cluster-NILE20714	cluster-NILE20714	3
Entity	cluster-NILE20715	cluster-NILE20715	3
Entity	cluster-NILE20716	cluster-NILE20716	5
Entity	cluster-NILE20717	cluster-NILE20717	1
Entity	cluster-NILE20718	cluster-NILE20718	3
Entity	cluster-NILE20719	cluster-NILE20719	6
Entity	cluster-NILE20720	cluster-NILE20720	5
Entity	cluster-NILE20721	cluster-NILE20721	19
Entity	cluster-NILE20722	cluster-NILE20722	2
Entity	cluster-NILE20723	cluster-NILE20723	4
Entity	cluster-NILE20724	cluster-NILE20724	1
Event	cluster-NILV20705	cluster-NILV20705	1
Event	cluster-NILV20706	cluster-NILV20706	1
Event	cluster-NILV20707	cluster-NILV20707	2
