?metatype	?subject	?predicate	?object	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV20310>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Movement.TransportPerson.EvacuationRescue_Passenger>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20320>	IC001VAPK:IC001VBFN:(410,0)-(421,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV20311>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Medical.Intervention.Intervention_Patient>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20337>	IC001VAPK:IC001VBFN:(2368,0)-(2376,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV20312>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Conflict.Demonstrate.MarchProtestPoliticalGathering_Demonstrator>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20328>	IC001VAPK:IC001VBFN:(1040,0)-(1047,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV20313>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Life.Injure.InjuryCausedByViolentEvents_Injurer>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20339>	IC001VAPK:IC001VBFN:(2336,0)-(2342,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV20313>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Life.Injure.InjuryCausedByViolentEvents_Victim>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20337>	IC001VAPK:IC001VBFN:(2336,0)-(2342,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV20314>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Conflict.Attack.Bombing_Attacker>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20322>	IC001VAPK:IC001VBFN:(2872,0)-(2874,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV20314>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Conflict.Attack.Bombing_Attacker>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20330>	IC001VAPK:IC001VBFN:(694,0)-(699,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV20314>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Conflict.Attack.Bombing_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20316>	IC001VAPK:IC001VBFN:(318,0)-(322,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV20314>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Conflict.Attack.Bombing_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20317>	IC001VAPK:IC001VBFN:(2872,0)-(2874,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV20314>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Conflict.Attack.Bombing_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20341>	IC001VAPK:IC001VBFN:(2872,0)-(2874,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV20315>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Conflict.Attack_Attacker>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20335>	IC001VAPK:IC001VBFN:(937,0)-(942,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV20315>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Conflict.Attack_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20321>	IC001VAPK:IC001VBFN:(937,0)-(942,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV20316>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Justice.ArrestJailDetain.ArrestJailDetain_Detainee>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20328>	IC001VAPK:IC001VBFN:(1009,0)-(1016,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV20317>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Justice.ArrestJailDetain.ArrestJailDetain_Detainee>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20338>	IC001VAPK:IC001VBFN:(891,0)-(898,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV20318>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Conflict.Attack.Bombing_Attacker>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20322>	IC001VAPK:IC001VBFN:(3044,0)-(3064,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Relation>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR20310>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#OrganizationAffiliation.Leadership.HeadOfState_Country>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20310>	IC001VAPK:IC001VBFN:(103,0)-(111,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Relation>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR20310>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#OrganizationAffiliation.Leadership.HeadOfState_Leader>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20320>	IC001VAPK:IC001VBFN:(103,0)-(111,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Relation>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR20311>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#OrganizationAffiliation.Leadership.HeadOfState_Country>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20312>	IC001VAPK:IC001VBFN:(811,0)-(816,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Relation>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR20311>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#OrganizationAffiliation.Leadership.HeadOfState_Leader>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20319>	IC001VAPK:IC001VBFN:(811,0)-(816,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Relation>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR20312>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#OrganizationAffiliation.Founder.Founder_Founder>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20336>	IC001VAPK:IC001VBFN:(2975,0)-(2980,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Relation>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR20312>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#OrganizationAffiliation.Founder.Founder_Organization>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20322>	IC001VAPK:IC001VBFN:(2975,0)-(2980,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Relation>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR20313>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#OrganizationAffiliation.EmploymentMembership.Employment_Employee>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20344>	IC001VAPK:IC001VBFN:(839,0)-(858,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Relation>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR20313>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#OrganizationAffiliation.EmploymentMembership.Employment_PlaceOfEmployment>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20310>	IC001VAPK:IC001VBFN:(839,0)-(858,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Relation>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR20314>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#OrganizationAffiliation.EmploymentMembership.Employment_Employee>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20337>	IC001VAPK:IC001VBFN:(2309,0)-(2310,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Relation>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR20314>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#OrganizationAffiliation.EmploymentMembership.Employment_PlaceOfEmployment>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE20318>	IC001VAPK:IC001VBFN:(2309,0)-(2310,0)	"1.0"	"1.0"
